,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,space5,space6,l1,l2,h1,w1,I1,I2,volume,total_loss,Lmt,Lmr,R1,R2,copperloss_tx,copperloss_rx,copperloss,coreloss
41,14.639689465694918,19.387077551019686,1.6292887221597916,1.6296758298283327,39995.99664719009,2.54873151772027,2.84333435961567,4.747806746978306,0.275957549560485,3500.783777106596,4.0770707647365745,8.796079280036492,4.300819043757773,9.000129611556842,2.341633384080867,2.358328449368904,8.08369124193629,15.002456957692122,31.942441762165636,54.116300096110024,4.351201626755758,3.1643052222761914,235.322060726033,8.16520470320327,10.028708138303495,10.670734640708522,0.08749381261713411,0.0965085585251907,1.6632223803266728,0.9698048537637889,2.633027234090462,5.542364681318527
42,14.66801817070692,19.38606025329207,1.6291960382716286,1.6297007358250764,39996.26650829551,2.3654710918730997,2.7584788204585133,4.284382690759422,0.23090395608990158,3500.586283670406,3.610169641829456,8.535594923647938,4.273945788683581,9.032680880238626,2.3313130811222664,2.357417998717303,8.000050575641698,14.94543961295661,31.177046014799217,46.94817604495482,4.352775624736013,3.164649547004584,208.3544929993669,9.417725566553363,9.615888524825356,9.320772622759653,0.0870771567917514,0.09656884401703462,1.6553019197484777,0.9704106566427793,2.625712576391257,6.800767037583513
43,14.673648092605212,19.386915178719743,1.6291879037433665,1.6296882349625201,39996.27594609991,2.4210806895646875,2.8393987212661185,5.1256239850533944,0.2381280883742669,3500.5502404104595,3.5552670183551056,8.85414688397637,4.272165392973351,8.999788029353212,2.3408329873510554,2.358484922182006,8.009666073628225,15.038099960698124,31.359831074161146,20.62643940528254,4.3523746623885184,3.160855647248404,132.35234265365003,24.992412322917808,5.298021867486648,5.392177394184024,0.07203305931275912,0.06685676399459733,1.369319644311826,0.6718369357053091,2.041156580017135,22.959911688177737
44,14.67346459726353,19.386882496508694,1.6291623623971232,1.629665783549904,39996.32128105566,2.4816895619852333,2.8496948799521493,-0.7610040507211515,0.20760372844798264,3500.6440346065397,3.5291286481559916,8.85573962826133,4.04775823323731,8.823488512737313,2.340501945019538,2.3584451496317356,8.074064297179612,15.035783776544326,31.35804035641552,21.453783819934834,4.351792593535056,3.1607399202116357,134.653874699683,23.502945347877642,5.298021867486648,5.41282476268535,0.07123931002920103,0.07014618920487316,1.3542307879311002,0.7048920407008499,2.05912282863195,21.45302840807533
45,14.669246808169552,19.40797992427613,1.6291877480580754,1.6299539032590882,39996.2191453065,2.527151573723278,2.8468300662246158,4.336419394400389,0.2414722809953569,3500.553440624835,3.6432940611549234,8.7732438492393,4.303302052903018,9.001799087435932,2.323275127737311,2.3593723819426033,8.503801648015894,15.020181473291752,31.370780237870243,70.69207239465415,4.350456369531958,3.161454141301912,294.5334625546022,6.374225824040444,13.828705866014488,14.000510145485785,0.09561246370376938,0.11009496782666284,1.8175546900231747,1.1063333221933522,2.923888012216527,3.464243003206616
46,14.673648092605212,19.384411151413712,1.6291879037433665,1.6296882349625201,39996.27594609991,2.4210806895646875,2.8393987212661185,5.1256239850533944,-0.12019402069343309,3500.5502404104595,3.5552670183551056,8.850915434878113,4.272165392973351,8.999788029353212,2.3308430927328954,2.358492720443205,8.009666073628225,15.00287160904953,31.323010848387224,70.89527169475309,4.3523774008836,3.160855647248404,279.7555516007123,6.60990526703855,13.800015362845421,13.832218718909541,0.09539344840398535,0.11007412273837404,1.8133912967804002,1.1061238519856469,2.919515148766047,3.703097653365816
47,14.6502359977622,19.378742982733765,1.6291771747634132,1.629660852072139,39996.08852036889,2.348364743212184,2.839396625727427,-0.607787357080996,0.24148791357232208,3501.089680173275,3.5550512056667816,8.853587118318686,3.877743227868901,8.998225187072975,2.3404952191880737,2.358443854677767,8.000136528036194,15.042697756244724,31.35987699247093,29.025620381709334,4.351491387726132,3.1608408473435974,156.9250621565076,16.125391688629673,6.023665621306967,6.219986699375081,0.07393432582668519,0.07867133818135941,1.405461960234955,0.7905604102506625,2.1960223704856174,13.939411298567734
48,14.650797721851182,19.38873182396997,1.6291727211625004,1.6297019010569955,39996.255564389605,2.3656623402349597,2.846718850612355,4.979172358442562,-0.24484188633788623,3500.9688100265753,3.2938663097827314,8.800006397506388,4.301493135217648,10.248380110122685,2.3224190177211916,2.359338987549354,9.007890458196226,15.004435921173972,31.407847435642733,71.30842067707769,4.350859036484265,3.1614238109929302,320.36908520843923,6.114002629396392,14.137982706268225,14.1484447888466,0.09528891131972497,0.1108558164286425,1.8114040886234442,1.1139790137097856,2.92538310233323,3.2022263820491954
49,14.638486671106318,19.38692995001117,1.62930897720415,1.6296853310787736,39996.00667056466,2.311589442394372,2.843309105063594,5.481316008799915,0.2386864272839997,3501.063107222521,3.2952972957035054,8.760377440273666,4.277005093534818,9.000131669175818,2.323401402580728,2.369370418923852,8.07176885314273,15.00407366036833,31.40807243554513,32.79771247308406,4.351350435581753,3.1642952947922987,169.3404965650776,13.78119409729921,6.75832347367275,6.9373370747032945,0.0779630412647187,0.07672292423738232,1.4820462292257968,0.7709809933690311,2.253027222594828,11.536813746967875
50,14.673739791890592,19.38474122782383,1.6292110239468933,1.629683303503717,39993.20336423395,2.403688025704008,2.8342232357978547,3.145634834542778,0.23867336671666822,3500.5234890567317,3.58462872166041,8.875492489945636,4.276705447213742,9.001853155067773,2.330483686507209,2.359225595745582,8.001314019285955,15.037529936083656,31.414304931313744,32.362695941846226,4.352223227242922,3.1643156148296,166.9482100268299,14.070239656809528,6.515768100449285,6.785563461180158,0.07816311536226636,0.0757912588632147,1.4858495577905388,0.7616187811905581,2.247468338981097,11.830796094182945
51,14.669938635062275,19.379451166959306,1.629195607053437,1.6299193275473762,39995.42663513934,2.35664246584019,2.846673417377762,4.014240845887188,0.231422714384461,3500.5744795383507,3.585523298858207,8.767759331338883,4.287114055688275,9.034037947141243,2.3289498899860157,2.3573938591366983,8.198678824294369,15.002841998365382,31.321101539690186,89.12013569620603,4.3515583172756775,3.1607423475926937,340.22844453394293,5.841892083788268,16.762452097423658,15.501345445156375,0.10788823543721708,0.12311589503635839,2.050912200367322,1.2371793176308619,3.288091517998184,2.5689502426732234
