itr,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,l1,l2,h1,w1,I1,I2,Lmt,Lmr,k,Y,Z,AA,AB,AC,I1,I2,AF,AG,AH,copperloss_tx,copperloss_rx
13,14,20,1.629072551,1.629656423,39994.20905,2.485029791,2.847067182,-0.440571038,0.24480909,3500.528967,3.284671027,8.764199157,4.302882671,9.008488765,8.073212797,15.02461651,33.40690288,63.95197477,7.819689364,15.95157307,8.009682188,16.33914402,0.999488245,7.827699046,15.96791222,11.1742612,90.40169896,184.3672109,4.35143 + 0i,3.16447 + 0i,0.09040169896 + 1.96703053i,0.1843672109 + 4.012593055i,0.1289485202 + 2.807991569i,1.291055126,1.550603865
14,14,20,1.629174343,1.629665784,39996.25658,2.34475786,2.839243491,-0.658633502,0.235062256,3500.642376,3.455466931,8.854062483,4.047758233,8.823488513,8.074064297,15.03578378,33.35804036,26.26914546,3.207421728,6.541438792,5.139210496,10.48126307,0.999199818,3.212560939,6.551920055,4.584187032,37.08260391,75.60759403,4.35179 + 0i,3.16073 + 0i,37.08260391 + 807.3290662i,0.07560759403 + 1.646523008i,0.05284931582 + 1.152024041i,0.867945347,0.984936657
15,14,20,1.629196832,1.629926766,39995.41175,2.30591304,2.966256642,5.366145221,-0.238507468,3500.789177,3.362237155,8.750219818,4.296413054,9.00935142,11.49577171,15.00872495,34.97250403,99.99789642,15.92149047,32.47557725,15.72964406,32.08426194,0.99950639,15.93722012,32.50766151,22.75017413,184.1021714,375.4336594,4.3524 + 0i,3.16069 + 0i,0.1841021714 + 4.005000839i,0.3754336594 + 8.169129288i,0.262640721 + 5.717086532i,1.745481165,2.406067561
16,14,20,1.629202472,1.629948487,39994.77619,2.366452967,2.836658765,4.061942952,0.243073958,3500.565015,3.583645525,8.767778681,4.300138561,9.008861796,8.043392771,15.06987314,33.32167881,27.38042265,3.334347833,6.799780857,5.787839316,11.80321939,0.999133217,3.340135672,6.811584076,4.765730857,38.55654969,78.6079526,4.35145 + 0i,3.165 + 0i,38.55654969 + 839.3580246i,0.0786079526 + 1.711714228i,0.0549426724 + 1.197602382i,0.862138173,1.043104277
17,14,20,1.629195513,1.629684006,39994.33792,2.356776218,2.836642027,4.743020726,0.243063003,3500.574872,3.590998717,8.768017807,4.23562119,9.008973416,8.002881974,15.00250433,33.32137094,24.08788954,2.922222308,5.958727944,5.814414015,11.85622024,0.99900662,2.928036722,5.970584164,4.177005415,33.79276054,68.89357198,4.35312 + 0i,3.16462 + 0i,33.79276054 + 735.7917248i,0.06889357198 + 1.500359059i,0.0481441964 + 1.049647361i,0.814819797,0.971265683
18,14,20,1.629203346,1.630038481,39994.8576,2.414469174,2.959319576,5.496239115,-0.222196893,3500.806428,3.820041342,8.744878202,2.961144104,9.009112004,14.32819783,15.02866412,34.88502066,99.84168861,18.88986097,38.53351957,16.0454279,32.73114667,0.99957556,18.90590639,38.56625072,26.99094504,218.3897422,445.4161463,4.3516 + 0i,3.16293 + 0i,0.2183897422 + 4.750961668i,0.4454161463 + 9.691509893i,0.3116227957 + 6.782692276i,1.73166977,2.480939063
19,14,20,1.629189352,1.629685696,39995.40038,2.30770434,2.853318919,5.66285481,0.068904157,3500.859868,3.631839425,8.758856911,4.302951114,9.014280992,9.905146685,14.99429885,33.60853383,99.91473531,14.42885574,29.43060035,14.99431007,30.58396004,0.99948081,14.44385005,29.46118431,20.61773941,166.862408,340.2553924,4.35231 + 0i,3.16312 + 0i,0.166862408 + 3.629718024i,0.3402553924 + 7.40355178i,0.2380093654 + 5.181207234i,1.705371033,2.460935008
20,14,20,1.629032133,1.629689134,39996.22191,2.310727203,2.846805658,5.484314391,0.264462785,3500.516806,3.58547839,8.772766045,4.302688764,9.00826502,8.013225236,15.09081741,33.40805025,24.66707711,2.988910354,6.09421869,6.282506819,12.80967508,0.998950684,2.995192861,6.107028365,4.272395149,34.57127826,70.47164626,4.35263 + 0i,3.16399 + 0i,34.57127826 + 752.7029698i,0.07047164626 + 1.534718664i,0.04924680759 + 1.073668597i,0.810463642,1.001686415
21,14,20,1.629161353,1.629685547,39996.25082,2.34475786,2.84692576,4.904498499,-0.235305017,3500.663957,3.544803026,8.801728132,4.041720211,9.035610819,8.013012431,15.03575968,33.35929568,21.15094959,2.566276775,5.23250995,5.959353396,12.15082342,0.998840929,2.572236128,5.244660774,3.668685205,29.68236788,60.50959652,4.35179 + 0i,3.16073 + 0i,29.68236788 + 646.4128563i,0.06050959652 + 1.318003473i,42.276193 + 921.9547367i,0.75297236,0.895871827
22,14,20,1.629199305,1.629687308,39996.69343,2.399373878,2.840754393,4.940230681,0.245665923,3500.5951,3.724014959,8.812115121,3.858674734,9.008027625,8.0134778,14.99348929,33.30249979,25.50721539,3.10213189,6.325816488,6.099447375,12.43789308,0.999018342,3.108231337,6.338254381,4.434196775,35.87685513,73.14317802,4.35148 + 0i,3.16149 + 0i,35.87685513 + 781.1191628i,0.07314317802 + 1.59284539i,0.05111785541 + 1.114343077i,0.815981008,0.984944865
23,14,20,1.629187748,1.629954643,39996.09358,2.489096578,2.846830066,4.28714498,0.241472281,3500.553441,3.69878487,8.773243849,4.301856238,9.000250284,8.98536437,15.08509699,33.37088357,98.61584215,13.18595304,26.89794713,12.16067487,24.8064883,0.999539196,13.19811371,26.92275362,18.84150113,152.4650178,310.9345804,4.35059 + 0i,3.16146 + 0i,0.1524650178 + 3.316723821i,0.3109345804 + 6.765765186i,0.2174981701 + 4.734923262i,1.645461805,2.281784841
24,14,20,1.629197365,1.629959995,39996.05246,2.357949164,2.846843766,4.058588581,0.243509218,3500.636107,4.030184806,8.773481963,3.95007968,8.764799346,8.062964893,14.97873327,33.40991745,27.06663956,3.301714053,6.733138926,5.498257146,11.21251829,0.999168402,3.30721231,6.744351444,4.718889694,38.17945799,77.83513195,4.35206 + 0i,3.16147 + 0i,38.17945799 + 831.1110825i,0.07783513195 + 1.694873115i,0.05440175536 + 1.185869292i,0.865201927,1.045030957
25,14,20,1.629282366,1.629689388,39994.7535,2.333644075,2.789274054,4.281546132,0.298166258,3500.743794,4.085468292,8.72187882,4.296604346,9.059987391,11.05494618,15.0394474,33.42565419,98.90713858,15.63416893,31.89325785,11.97690908,24.43255226,0.999617184,15.64614584,31.9176904,22.33845481,180.755686,368.6331501,4.35101 + 0i,3.16128 + 0i,0.180755686 + 3.931789574i,0.3686331501 + 8.020738376i,0.2578840937 + 5.613529662i,1.789962776,2.616825799
26,14,20,1.629173062,1.629687708,39996.24999,2.490747811,2.846405331,4.899460419,0.241377821,3500.606591,3.496161148,8.805535195,4.271810207,8.99943,8.075521319,15.0374645,33.36137384,56.39775799,6.904589622,14.08277288,9.060871084,18.48077823,0.999344497,6.913650493,14.10125366,9.867287858,79.8445039,162.8168065,4.35087 + 0i,3.16083 + 0i,0.0798445039 + 1.737426988i,0.1628168065 + 3.543699339i,0.1138593006 + 2.479687431i,1.149079289,1.480907256
27,14,20,1.629169883,1.629688775,39996.71307,2.435183111,2.839926974,3.967522249,0.253481017,3500.567104,3.587007577,8.772570025,4.302978202,8.992547379,8.013538734,15.03760887,33.32168573,29.39240421,3.570574124,7.281945929,5.846860638,11.92427927,0.999182248,3.576420984,7.293870208,5.103264076,41.28699741,84.18156032,4.35233 + 0i,3.16293 + 0i,41.28699741 + 898.7787697i,0.08418156032 + 1.832998889i,0.05884374603 + 1.28248476i,0.865192504,1.056659567
28,14,20,1.629172887,1.629728685,39992.36339,2.491495423,2.83448162,4.058588581,0.243929459,3500.512412,3.541309783,8.806648122,4.221662939,9.000808948,8.063035813,15.03730775,33.40682781,59.31536548,7.237887621,14.76347868,8.620231631,17.58311438,0.999405038,7.246507853,14.7810618,10.34329078,83.68496517,170.6536429,4.35085 + 0i,3.16069 + 0i,0.08368496517 + 1.820898363i,0.1706536429 + 3.714176784i,0.1193440757 + 2.599056213i,1.18746715,1.562309967
29,14,20,1.629336099,1.629684257,39994.12099,2.412875468,2.851883749,4.296557971,0.238023388,3500.554805,3.591938076,8.760848824,4.284651026,9.000355414,8.003483979,15.00251119,33.40807279,25.00163962,3.029010054,6.176889219,5.614407944,11.44914519,0.999074514,3.034624462,6.188338364,4.329496405,35.02402868,71.40744916,4.35308 + 0i,3.16156 + 0i,35.02402868 + 762.5722175i,0.07140744916 + 1.555070477i,0.04990574792 + 1.087961201i,0.824133256,0.983545015
30,14,20,1.629161325,1.629713019,39994.08348,2.48750153,2.836715108,4.621934172,0.243069072,3501.069253,3.546232389,8.768043414,4.240796783,9.030582524,8.009357846,15.0150694,33.35919388,23.33996801,2.834449587,5.78020311,5.584390435,11.38807023,0.999016361,2.840033978,5.791591181,4.051663021,32.77490096,66.82428566,4.35273 + 0i,3.16137 + 0i,32.77490096 + 713.6728133i,0.06682428566 + 1.455370324i,0.04669754986 + 1.018143363i,0.790682807,0.938706132
31,14,20,1.629173132,1.629670782,39996.42949,2.490747811,2.846405331,4.5405159,0.241377821,3500.606591,3.497860229,8.805497611,4.2768272,9.442738225,8.07479778,15.0374645,33.36175061,35.88318615,4.384645455,8.942646088,6.973949291,14.22362674,0.999205678,4.391619404,8.956869715,6.266793286,50.70479391,103.3903084,4.35087 + 0i,3.16061 + 0i,0.05070479391 + 1.103635818i,0.1033903084 + 2.250905948i,0.07227986238 + 1.574876349i,0.916941123,1.147042456
32,14,20,1.629195651,1.629689165,39994.33792,2.350179962,2.846814322,0.118398745,0.230899241,3500.574674,3.597892621,8.76787579,4.350652599,9.001138483,8.003851088,15.0003275,33.31993244,34.73817961,4.218846514,8.604885832,5.558808202,11.33791186,0.999341844,4.224405322,8.616223744,6.029139699,48.77290184,99.45084223,4.3527 + 0i,3.16451 + 0i,0.04877290184 + 1.061558571i,0.09945084223 + 2.165186687i,0.06953247285 + 1.515073587i,0.976533987,1.141813928
33,14,20,1.629212799,1.629714195,39995.41769,2.537730698,2.966823935,5.486078901,-0.36990924,3500.837922,4.802652468,9.561296957,4.13713327,9.032398613,13.29389671,15.72038642,34.88807559,99.9809571,17.66592675,36.03825575,14.56137431,29.70501003,0.999588123,17.68048812,36.06796076,25.24230482,204.2337044,416.5645562,4.35131 + 0i,3.16316 + 0i,0.2042337044 + 4.443082281i,0.4165645562 + 9.063828795i,0.2914192613 + 6.343356388i,1.733965716,2.392213648
34,14,20,1.629195513,1.629684006,39994.46593,2.354094267,2.836642027,4.074100923,0.243063003,3500.619787,3.590998717,8.767848694,4.23562119,9.008973416,8.002881974,15.00986145,33.32137094,23.76424635,2.883850336,5.88074439,5.496973225,11.20942167,0.999048299,2.889347309,5.891953811,4.122076295,33.34794206,67.98421219,4.35293 + 0i,3.16462 + 0i,33.34794206 + 726.0717153i,0.06798421219 + 1.480604632i,0.04751114243 + 1.035847437i,0.821730423,0.983223323
35,14,20,1.629074496,1.630145153,39993.99008,2.304281632,2.846973476,5.484303745,-0.125197689,3500.514676,4.092910199,8.807879207,4.300854899,9.001603682,10.03147716,15.00334045,33.29057094,67.67863457,9.926360056,20.24642443,11.03273203,22.50304986,0.999444734,9.937392788,20.26892748,14.18438127,114.7827657,234.0592818,4.35159 + 0i,3.16155 + 0i,0.1147827657 + 2.497163964i,0.2340592818 + 5.093371708i,0.1637049008 + 3.564388217i,1.354372201,1.87083065
36,14,20,1.629195526,1.630039678,39995.39501,2.35040016,2.846811395,4.073111165,0.231333287,3500.574611,3.59770867,8.772937224,4.28755229,9.034207096,8.198678824,15.00404796,33.32005385,34.76006706,4.306912387,8.783611247,6.560323919,13.37926797,0.999239265,4.313472711,8.796990515,6.15531213,49.80108236,101.541235,4.35159 + 0i,3.16076 + 0i,0.04980108236 + 1.083969128i,0.101541235 + 2.21067033i,0.07099041125 + 1.546820572i,0.926958768,1.177830384
37,14,20,1.629211876,1.629709636,39996.20674,2.34475786,2.841364373,0.243219966,-0.195324128,3500.663957,3.544803026,8.85062303,4.041720211,9.035610819,8.074064297,15.03578378,33.35929568,30.92263321,3.777754408,7.705063211,5.549846351,11.31940098,0.999266265,3.783304254,7.716382612,5.399129414,43.67732105,89.05767286,4.35179 + 0i,3.16073 + 0i,43.67732105 + 950.7578979i,0.08905767286 + 1.939154564i,0.06226159042 + 1.356820543i,0.919273254,1.075929318
38,14,20,1.629031756,1.629688696,39996.31798,2.486112142,2.846861533,-0.925839989,0.239628208,3500.595776,3.578307882,8.821369322,4.302914311,9.000826969,8.063784417,14.99510473,33.40683046,61.91064608,7.565221061,15.43247308,7.654643597,15.61488822,0.999494473,7.572875704,15.44808797,10.81055967,87.46279518,178.3750321,4.35147 + 0i,3.1609 + 0i,0.08746279518 + 1.903096057i,0.1783750321 + 3.882170586i,0.1247550278 + 2.716739888i,1.26546831,1.553212539
39,14,20,1.629195513,1.629687311,39993.95638,2.406273862,2.846811395,0.09230648,0.230899241,3500.55793,3.589340917,8.766742899,4.351362378,9.008071864,8.003612048,14.99918334,33.32137094,20.37050151,2.473038484,5.043500237,4.405083302,8.983701153,0.999110566,2.477443567,5.052483938,3.53482492,28.58798878,58.28595758,4.35264 + 0i,3.16465 + 0i,28.58798878 + 622.5554043i,0.05828595758 + 1.269635855i,40.72916734 + 888.2641715i,0.783099244,0.905651905
40,14,20,1.629214168,1.629909426,39995.40894,2.306144518,2.847109394,5.506245677,-0.237210223,3501.058135,3.362237155,8.750219818,4.264441438,9.059821009,11.49577171,15.00872495,33.40912181,94.95704045,15.49620629,31.60906065,15.50443714,31.6258499,0.99950011,15.51171073,31.6406865,22.14295837,179.1950858,365.4371346,4.35145 + 0i,3.16067 + 0i,0.1791950858 + 3.898070658i,0.3654371346 + 7.951259139i,0.2556346041 + 5.56449368i,1.671670137,2.374313393
41,14,20,1.629288722,1.62967583,39995.99665,2.548731518,2.84333436,4.747806747,0.27595755,3500.783777,4.077070765,8.79607928,4.300819044,9.000129612,8.083691242,15.00245696,33.94244176,54.1163001,6.560615582,13.38168172,7.830953886,15.97278962,0.999403718,6.568446536,13.39765451,9.375332576,75.85963354,154.6904235,4.3512 + 0i,3.16431 + 0i,0.07585963354 + 1.650665449i,0.1546904235 + 3.366860836i,0.1081699497 + 2.35604225i,1.138860254,1.5037365
42,14,20,1.629196038,1.629700736,39996.26651,2.365471092,2.75847882,4.284382691,0.230903956,3500.586284,3.610169642,8.535594924,4.273945789,9.03268088,8.000050576,14.94543961,33.17704601,46.94817604,5.721253976,11.66911994,7.453360586,15.20193982,0.999349261,5.728707337,11.68432188,8.176122125,66.16085076,134.9020702,4.35278 + 0i,3.16465 + 0i,0.06616085076 + 1.439646805i,0.1349020702 + 2.936316289i,0.09432551231 + 2.054691819i,1.080496601,1.426972301
43,14,20,1.629187904,1.629688235,39996.27595,2.42108069,2.839398721,5.125623985,0.238128088,3500.55024,3.555267018,8.854146884,4.272165393,8.999788029,8.009666074,15.03809996,33.35983107,20.62643941,2.502634236,5.102885434,5.654150281,11.52884457,0.998872271,2.508288386,5.114414279,3.577640042,28.94298526,59.0057444,4.35237 + 0i,3.16086 + 0i,28.94298526 + 630.3429382i,0.0590057444 + 1.285272834i,41.22662778 + 899.075301i,0.770389542,0.893477005
44,14,20,1.629162362,1.629665784,39996.32128,2.481689562,2.84969488,-0.761004051,0.207603728,3500.644035,3.529128648,8.855739628,4.047758233,8.823488513,8.074064297,15.03578378,33.35804036,21.45378382,2.62014168,5.343763113,4.607111555,9.396176158,0.999121985,2.624748791,5.353159289,3.745134947,30.28929823,61.76186709,4.35179 + 0i,3.16074 + 0i,30.28929823 + 659.610653i,0.06176186709 + 1.345271938i,43.16194076 + 941.1685096i,0.799341147,0.898758037
45,14,20,1.629187748,1.629953903,39996.21915,2.527151574,2.846830066,4.336419394,0.241472281,3500.553441,3.643294061,8.773243849,4.303302053,9.001799087,8.503801648,15.02018147,33.37078024,70.69207239,9.040263032,18.44043174,9.666501733,19.7178406,0.999465792,9.049929533,18.46014958,12.91838255,104.5308539,213.173234,4.35046 + 0i,3.16145 + 0i,0.1045308539 + 2.274280383i,0.213173234 + 4.639103089i,0.1490935528 + 3.246436772i,1.320445551,1.749561571
46,14,20,1.629187904,1.629688235,39996.27595,2.42108069,2.839398721,5.125623985,-0.120194021,3500.55024,3.555267018,8.850915435,4.272165393,8.999788029,8.009666074,15.00287161,33.32301085,70.89527169,8.622934908,17.58749496,11.12697978,22.69479045,0.999355427,8.634061888,17.61018975,12.32280487,99.73083265,203.3553925,4.35238 + 0i,3.16086 + 0i,0.09973083265 + 2.169774404i,0.2033553925 + 4.425511361i,0.1422149986 + 3.096770321i,1.314381005,1.779961672
47,14,20,1.629177175,1.629660852,39996.08852,2.348364743,2.839396626,-0.607787357,0.241487914,3501.08968,3.555051206,8.853587118,3.877743228,8.998225187,8.000136528,15.04269776,33.35987699,29.02562038,3.520118477,7.17947475,5.446339045,11.10810727,0.999227295,3.525564816,7.190582857,5.0310738,40.69794675,82.98331006,4.35149 + 0i,3.16084 + 0i,40.69794675 + 885.9844359i,0.08298331006 + 1.807013863i,0.05801032101 + 1.264323113i,0.879581085,1.023739978
48,14,20,1.629172721,1.629701901,39996.25556,2.36566234,2.846718851,4.979172358,-0.244841886,3500.96881,3.29386631,8.800006398,4.301493135,10.24838011,9.007890458,15.00443592,33.40784744,71.30842068,9.557566607,19.49447604,12.36769829,25.22627442,0.999353616,9.569934305,19.51970232,13.65872816,110.5340624,225.4063196,4.35086 + 0i,3.16142 + 0i,0.1105340624 + 2.404961673i,0.2254063196 + 4.905377032i,0.1576487054 + 3.432491456i,1.312075672,1.744367915
49,14,20,1.629308977,1.629685331,39996.00667,2.311589442,2.843309105,5.481316009,0.238686427,3501.063107,3.295297296,8.76037744,4.277005094,9.000131669,8.071768853,15.00407366,33.40807244,32.79771247,4.007502646,8.171857174,7.396556019,15.08260997,0.999078437,4.014899202,8.186939784,5.727930066,46.35246541,94.49494705,4.35135 + 0i,3.1643 + 0i,0.04635246541 + 1.00895349i,0.09449494705 + 2.057396973i,0.06605548869 + 1.439442123i,0.897154604,1.127699565
50,14,20,1.629211024,1.629683304,39993.20336,2.403688026,2.834223236,3.145634835,0.238673367,3500.523489,3.584628722,8.87549249,4.276705447,9.001853155,8.001314019,15.03752994,33.41430493,32.36269594,3.919387626,7.993744221,5.92103387,12.07617995,0.999245503,3.92530866,8.005820401,5.601599184,45.31486453,92.39619201,4.35222 + 0i,3.16432 + 0i,45.31486453 + 986.3700396i,0.09239619201 + 2.01174024i,0.06459258908 + 1.407596214i,0.909875779,1.107623704
51,14,20,1.629195607,1.629919328,39995.42664,2.356642466,2.846673417,4.014240846,0.231422714,3500.57448,3.585523299,8.767759331,4.287114056,9.034037947,8.198678824,15.002842,33.32110154,89.1201357,11.06637305,22.57264879,11.51927449,23.49645509,0.999479943,11.07789233,22.59614524,15.81320248,127.9679377,260.9448022,4.35156 + 0i,3.16074 + 0i,0.1279679377 + 2.783859685i,0.2609448022 + 5.678381404i,0.1825215113 + 3.973836863i,1.583242271,2.139063502
52,14,20,1.629162604,1.629948571,39996.42971,2.409021021,2.847145072,3.990120019,-0.11539789,3500.725535,3.578499644,8.804944335,4.276866106,9.001603682,8.059451217,15.00334336,33.33327209,37.21827701,4.544290818,9.268127797,6.854354078,13.97952554,0.99924668,4.551145172,9.282107322,6.494658966,52.54885624,107.1492032,4.3508 + 0i,3.16061 + 0i,0.05254885624 + 1.143725444i,0.1071492032 + 2.33263979i,0.07491208777 + 1.632140138i,0.957938928,1.177931414
53,14,20,1.629179359,1.629942307,39995.60669,2.506960893,2.979223326,5.382107217,-0.199066162,3500.834814,4.907001374,9.568560163,4.285313232,9.059677214,14.891592,15.7271532,34.88002965,99.17443396,19.12179463,39.00881442,14.29564753,29.16338516,0.999626404,19.13609027,39.0379778,27.32171653,221.0443184,450.872786,4.3515 + 0i,3.16018 + 0i,0.2210443184 + 4.808895818i,0.450872786 + 9.810236338i,0.3154374605 + 6.865942126i,1.740501518,2.440453094
54,14,20,1.629161019,1.629744708,39996.47844,2.482438339,2.846837924,4.052619625,0.267160182,3500.533891,3.585947019,8.771140301,4.326348153,9.011177016,8.01322522,15.09050695,33.40806448,40.42861607,4.89965421,9.993346208,6.798695299,13.86663486,0.999306928,4.906452905,10.00721284,7.002276954,56.65400672,115.5246908,4.35145 + 0i,3.16129 + 0i,0.05665400672 + 1.233017549i,0.1155246908 + 2.514865482i,0.08077327372 + 1.75970921i,0.987499145,1.23597807
55,14,20,1.629173259,1.629898323,39996.26356,2.36973321,2.834082335,4.287710682,0.241480852,3500.583108,3.641123118,8.773202183,4.303302259,9.032331161,8.005325893,15.00712369,33.37087566,30.38794555,3.686237376,7.517518926,6.155043804,12.55227311,0.999166176,3.69239242,7.530071199,5.268551025,42.62742397,86.91014722,4.35066 + 0i,3.16463 + 0i,42.62742397 + 927.9127466i,0.08691014722 + 1.892336527i,0.06075207497 + 1.324007607i,0.896283963,1.091006709
