,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
4,9.0,30.0,15.0,104.0,54.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1114.848,0.678537264800252,535.5525560193403,33.02576747726067,79.0,168.0,83.99999999999999,238.3726414750944,116.74087284689884,79.0889273556102,195.82980020250903,42.54284127258537
6,9.0,30.0,16.0,95.0,55.0,3500.0,23.0,23.0,12.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1116.8625,0.6361286857502364,532.875249901484,32.043480433380545,79.0,162.5,87.0,232.65910153888484,118.68629736550832,71.96546218210398,190.6517595476123,42.007341991272526
21,9.0,30.0,13.0,100.0,54.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1011.2,0.7829276132310601,515.1300471344981,31.871276801290183,79.0,160.0,80.0,240.47478279230853,117.30408716936732,78.12776457453633,195.43185174390365,45.04293104840488
11,9.0,30.0,15.0,95.0,54.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1055.124,0.6785372648002521,573.4840920416754,31.885498370219924,79.0,159.0,83.99999999999999,238.5667812706226,117.2872779910749,78.73666200696226,196.02393999803718,42.54284127258544
19,9.0,30.0,14.0,97.0,54.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1030.0020000000002,0.7270042122859843,558.3895930072061,31.8343632680854,79.0,159.0,82.0,239.63369107642106,117.53423924028478,78.3941782663947,195.92841750667947,43.70527356974157
14,9.0,30.0,17.0,95.0,55.0,3500.0,23.0,23.0,11.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1156.5995,0.59870935129434,553.4119843157431,32.770460611105115,79.0,164.5,89.0,232.48687833173108,118.83853799118965,72.56057309568128,191.39911108687093,41.087767244860146
5,9.0,31.0,13.0,97.0,54.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1004.8,0.7576718837719937,540.3846015919993,31.829378873842032,80.0,157.0,80.0,242.3143915525214,117.77030155912759,80.580948506022,198.3512500651496,43.963141487371836
72,9.0,32.0,16.0,95.0,63.0,3500.0,23.0,23.0,10.0,8.0,3.0,3.0,2.0,2.0,0.0,0.0,1238.895,0.5963706428908465,500.6288904837984,32.04758613017819,81.0,161.0,95.0,229.88609042194804,104.41002736734282,81.7451747055577,186.15520207290052,43.730888349047504
56,9.0,32.0,17.0,96.0,64.0,3500.0,23.0,23.0,10.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1313.7390000000003,0.5612900168384437,531.4899271487901,31.74870308626766,81.0,165.5,98.0,216.4838810858035,104.58439872127485,68.76671178150993,173.35111050278476,43.13277058301871
47,9.0,30.0,20.0,97.0,74.0,3500.0,24.0,24.0,10.0,9.0,4.0,4.0,2.0,3.0,0.0,0.0,1626.5520000000001,0.5089029486001891,536.0298251776669,32.06175347610318,82.0,174.00000000000003,113.99999999999999,190.70654054913436,80.28900314230603,63.75187965567199,144.040882797978,46.66565775115635
57,9.0,30.0,22.0,96.0,82.0,3500.0,24.0,24.0,10.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1844.2620000000004,0.4626390441819902,520.6612646205473,31.747620293892926,82.0,178.50000000000003,126.0,177.56903205633557,76.44341347584087,53.06022549978881,129.50363897562968,48.06539308070589
80,9.0,30.0,20.0,96.0,74.0,3500.0,24.0,24.0,10.0,9.0,4.0,4.0,2.0,3.0,0.0,0.0,1617.2040000000002,0.5089029486001891,540.2440152652251,31.964834776627985,82.0,173.00000000000003,113.99999999999999,190.71776125471177,80.03370919482389,64.01839430873153,144.05210350355543,46.665657751156374
31,9.0,31.0,20.0,96.0,74.0,3500.0,24.0,24.0,10.0,10.0,4.0,5.0,2.0,2.0,0.0,0.0,1651.1190000000001,0.4924867244517959,526.1341354116742,31.804366415341715,83.0,174.50000000000003,113.99999999999999,187.29284380745796,80.86310278745039,60.882773569983904,141.7458763574343,45.54696745002367
