,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
21,8.0,50.0,24.0,86.0,50.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1644.489,0.28625790858760636,963.2713246351515,32.250363271138916,99.0,169.5,98.0,238.21311864161396,113.59689662026275,80.92294250933408,194.51983912959685,43.693279512017135
92,8.0,50.0,24.0,87.0,50.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1654.1910000000003,0.28625790858760636,953.01720519412,32.46934570357093,99.0,170.5,98.0,237.71887130435766,113.64505022523382,80.38054156710668,194.0255917923405,43.693279512017156
6,8.0,50.0,23.0,95.0,59.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1834.7175000000004,0.29870390461315444,882.9695675820711,32.286090420367664,99.0,176.50000000000003,105.00000000000001,221.9703034791674,102.35086856880055,69.76818999181978,172.11905856062032,49.85124491854705
98,8.0,50.0,25.0,86.0,50.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1697.8500000000004,0.27480759224410206,1021.0826156265533,32.99511044450541,99.0,171.5,100.0,237.05369089603445,114.01702753275933,81.06028639229856,195.0773139250579,41.97637697097655
15,8.0,51.0,23.0,86.0,50.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1608.0,0.2928469653070142,1042.0290373959415,31.984487406704503,100.0,167.5,96.0,239.79340599675248,114.60588341064289,80.92294250933408,195.52882591997695,44.26458007677551
80,8.0,51.0,24.0,87.0,50.0,3500.0,23.0,23.0,13.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0,1680.7000000000003,0.28064500841922196,1031.8325672538135,32.363747056891654,100.0,171.5,98.0,237.38887121398398,114.50357024344703,80.45139112486423,194.95496136831127,42.43390984567272
23,8.0,49.0,25.0,96.0,83.0,3500.0,24.0,24.0,13.0,10.0,4.0,5.0,4.0,4.0,0.0,0.0,2478.388500000001,0.28041591045316533,875.9500729731184,31.813397488293386,101.0,184.50000000000003,133.0,184.33660908483884,76.92415620561391,49.8929927459844,126.81714895159831,57.519460133240536
74,8.0,49.0,25.0,100.0,68.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,2.0,2.0,0.0,1.0,2246.5430000000006,0.2804159104531654,879.9569823308086,32.10825554394947,101.0,188.50000000000003,118.00000000000001,195.34883973775322,87.02333502277182,57.293201739625104,144.31653676239694,51.032302975356295
32,8.0,49.0,25.0,100.0,83.0,3500.0,24.0,24.0,13.0,10.0,4.0,5.0,4.0,4.0,0.0,0.0,2532.120500000001,0.2804159104531654,857.468850228896,32.10580223728013,101.0,188.50000000000003,133.0,181.60476434820214,76.12306077896136,47.962243436000215,124.08530421496158,57.519460133240564
38,8.0,49.0,25.0,96.0,67.0,3500.0,24.0,24.0,16.0,10.0,4.0,5.0,2.0,2.0,0.0,0.0,2180.2365000000004,0.28041591045316533,914.9097717352146,31.780811670803654,101.0,184.50000000000003,117.0,197.86639880549677,88.00319210434265,59.2633808696568,147.26657297399944,50.59982583149732
