,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
26,9.0,32.0,22.0,104.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1973.9160000000004,0.4337241039206157,503.81995482085347,32.23190636253431,84.0,186.50000000000003,126.0,173.32013033600762,77.33288960989827,50.16342573503988,127.49631534493815,45.823814991069476
70,9.0,35.0,14.0,101.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1153.8660000000004,0.6231464676737007,503.9203104758267,31.848646634141193,84.0,165.5,83.0,234.4896488530114,121.45279842200028,73.56772905266928,195.02052747466956,39.46912137834183
22,9.0,32.0,22.0,110.0,82.0,3500.0,24.0,24.0,14.0,17.0,4.0,5.0,3.0,3.0,0.0,0.0,2111.5080000000003,0.4337241039206157,501.3138555748003,32.238503721194405,84.0,199.5,126.0,172.8465637160381,76.98772156605857,50.035027158910054,127.02274872496862,45.82381499106949
83,9.0,32.0,22.0,107.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,2005.668,0.4337241039206157,503.81995482085347,32.24957857967268,84.0,189.5,126.0,173.1638894061586,77.17664868004923,50.16342573503988,127.3400744150891,45.82381499106949
89,9.0,32.0,22.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1931.5800000000002,0.43372410392061567,552.6179728258163,32.08500077124395,84.0,182.50000000000003,126.0,174.1105494465611,77.95417495823617,50.332559497255424,128.2867344554916,45.823814991069504
30,9.0,32.0,22.0,107.0,82.0,3500.0,24.0,24.0,14.0,16.0,4.0,5.0,3.0,3.0,0.0,0.0,2069.172,0.4337241039206157,500.5231904850379,31.964244315098924,84.0,195.5,126.0,173.00799587862068,77.35947393653366,49.82470695101753,127.1841808875512,45.82381499106949
94,9.0,35.0,15.0,100.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1181.67,0.5816033698287876,519.0866748909802,32.09796733664181,84.0,165.5,84.99999999999999,232.51526961027886,120.67863007667893,73.42830225231549,194.10693232899442,38.40833728128444
97,9.0,35.0,14.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1146.894,0.6231464676737007,503.9203104758267,31.848646634141193,84.0,164.5,83.0,234.48964885301146,121.45279842200028,73.56772905266928,195.02052747466956,39.46912137834189
41,9.0,38.0,13.0,100.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1138.0905,0.6181007472876788,539.9245626352839,31.984353292853267,87.0,161.5,81.0,235.61228249611736,121.54239728532235,75.78286723401028,197.32526451933262,38.287017976784725
45,9.0,35.0,17.0,99.0,74.0,3500.0,24.0,24.0,12.0,9.0,4.0,4.0,2.0,2.0,0.0,5.0,1597.3200000000002,0.5131794439665771,500.7636147013039,31.747556373842652,87.00000000000001,170.0,108.0,199.34629408744343,86.2185540743336,68.64355212925796,154.86210620359157,44.48418788385188
