,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
94,8.0,46.0,20.0,100.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.5,1.0,1.0,0.0,-13.0,2557.8000000000006,0.373379880766443,565.6312076821905,31.80663531248808,98.0,181.25000000000003,144.00000000000003,112.72757786336183,47.63342530117652,12.360317749572005,59.99374305074853,52.7338348126133
97,8.0,46.0,18.0,97.0,104.0,3500.0,24.0,24.0,10.0,10.0,4.0,4.6000000000000005,1.0,1.0,0.0,-17.0,2350.2360000000003,0.41486653418493674,502.8436005073028,31.78721132055368,98.0,171.3,140.0,128.35181649357685,46.9249656176389,26.00060793094689,72.92557354858579,55.42624294499107
82,8.0,46.0,18.0,100.0,104.0,3500.0,24.0,24.0,13.0,13.0,4.0,5.2,1.0,1.0,0.0,-15.0,2436.6720000000005,0.41486653418493674,501.4626661681452,31.804714175404694,98.0,177.6,140.0,123.84774239628152,46.8983617327805,21.523137718509904,68.4214994512904,55.42624294499112
26,8.0,46.0,18.0,99.0,104.0,3500.0,24.0,24.0,13.0,10.0,4.0,4.7,1.0,1.0,0.0,-15.0,2378.362,0.41486653418493674,503.41284173146755,31.816485321982668,98.0,173.35,140.0,126.21597565080032,46.83029779918461,23.95943490662464,70.78973270580926,55.42624294499107
86,8.0,48.0,19.0,99.0,104.0,3500.0,24.0,24.0,13.0,13.0,4.0,6.2,1.0,1.0,0.0,-15.0,2543.2200000000007,0.37665514287842944,534.2505727896881,31.751153863229295,100.0,179.10000000000002,142.00000000000003,114.21895085463103,47.51009280413083,14.370268048014058,61.88036085214489,52.33859000248615
33,8.0,48.0,20.0,98.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.5,1.0,1.0,0.0,-13.0,2581.2000000000007,0.35782238573450803,570.3365387918857,31.842487578055625,100.0,179.25000000000003,144.00000000000003,111.64739193636076,47.743657849058835,12.804824321687914,60.54848217074675,51.09890976561402
73,8.0,48.0,19.0,97.0,104.0,3500.0,24.0,24.0,12.0,11.0,4.0,5.7,1.0,1.0,0.0,-15.0,2482.8700000000003,0.37665514287842944,531.5551445518417,31.76084442794061,100.0,174.85,142.00000000000003,117.697575147748,47.728454276288375,17.63053086897348,65.35898514526185,52.33859000248615
88,8.0,48.0,19.0,89.0,104.0,3500.0,24.0,24.0,13.0,10.0,4.0,4.7,1.0,1.1,0.0,-16.0,2347.9700000000003,0.37665514287842944,515.6914461522758,31.946672045904588,100.0,165.35,142.00000000000003,125.63921052727726,47.77388952175895,25.52673100303215,73.3006205247911,52.33859000248615
63,8.0,48.0,20.0,95.0,104.0,3500.0,24.0,24.0,13.0,11.0,4.0,5.7,1.0,1.0,0.0,-16.0,2517.84,0.357822385734508,564.5133335826816,31.788190706578796,100.0,174.85,144.00000000000003,116.53629993999719,47.69799449030472,17.739395684078474,65.4373901743832,51.098909765614
91,8.0,48.0,19.0,97.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,5.7,1.0,1.0,0.0,-16.0,2497.0700000000006,0.37665514287842944,527.0846185463345,31.748737404645336,100.0,175.85,142.00000000000003,117.51385490579275,47.68107816007671,17.494186743229896,65.17526490330661,52.33859000248615
55,8.0,48.0,19.0,99.0,104.0,3500.0,24.0,24.0,13.0,12.0,4.0,6.2,1.0,1.0,0.0,-13.0,2529.0200000000004,0.37665514287842944,530.5783660893007,31.778999147666745,100.0,178.1,142.00000000000003,114.16573864806651,47.611656481085255,14.2154921644951,61.82714864558035,52.33859000248615
0,8.0,48.0,22.0,95.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.5,1.0,1.0,0.0,-13.0,2667.7000000000007,0.3252930779404618,603.3956487911557,31.90836227643217,100.0,180.25000000000003,148.00000000000003,109.98895445294606,47.994220897735666,13.052896078715422,61.047116976451086,48.94183747649498
49,8.0,48.0,20.0,97.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.5,1.0,1.0,0.0,-12.0,2566.800000000001,0.3578223857345079,565.931241758023,31.77235849007107,100.0,178.25000000000003,144.00000000000003,111.68159241581166,47.77785832850975,12.804824321687914,60.58268265019767,51.098909765613996
6,8.0,48.0,20.0,99.0,104.0,3500.0,24.0,24.0,12.0,12.0,4.0,6.5,1.0,1.0,0.0,-13.0,2595.600000000001,0.357822385734508,567.8776386978438,31.998355903999588,100.0,180.25000000000003,144.00000000000003,111.60916678536742,47.710620375240005,12.799636644513408,60.51025701975341,51.098909765614
19,8.0,48.0,18.0,89.0,104.0,3500.0,24.0,24.0,9.0,9.0,4.0,3.6,1.0,1.0,0.0,-13.0,2265.2000000000003,0.3975804285938977,500.2315554285491,31.802587804525533,100.0,161.8,140.0,139.5227182165744,46.55753964948697,39.25733431572141,85.81487396520838,53.707844251366005
29,8.0,56.0,13.0,89.0,95.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.6,1.0,1.0,0.0,-10.0,1909.5615,0.4718536954740764,511.4087694915592,31.754860901605074,105.00000000000001,150.29999999999998,121.0,175.80240242757625,82.23585546615337,40.87535729699849,123.11121276315185,52.691189664424385
