,load,eff
0,5.0,99.04357284961065
1,6.0,99.20192687467556
2,7.0,99.31487317829334
3,8.0,99.39943965600666
4,9.0,99.4650862497837
5,10.0,99.51748892480533
6,11.0,99.56025965891394
7,12.0,99.59580643733779
8,13.0,99.62579632677333
9,14.0,99.65142008914667
10,15.0,99.67355094987023
11,16.0,99.69284382800333
12,17.0,99.70979954400315
13,18.0,99.72480762489184
14,19.0,99.7381755920028
15,20.0,99.75014946240266
16,21.0,99.76092839276444
17,22.0,99.77067532945696
18,23.0,99.77952488035015
19,24.0,99.7875892186689
20,25.0,99.79496256992213
21,26.0,99.80172466338666
22,27.0,99.80794341659457
23,28.0,99.81367704457332
24,29.0,99.8189757326915
25,30.0,99.82388297493512
26,31.0,99.82843665316301
27,32.0,99.83266991400167
28,33.0,99.83661188630464
29,34.0,99.84028827200157
30,35.0,99.84372183565867
31,36.0,99.84693281244593
32,37.0,99.8499392499474
33,38.0,99.8527572960014
34,39.0,99.85540144225779
35,40.0,99.85788473120134
36,41.0,99.86021893287935
37,42.0,99.86241469638222
38,43.0,99.86448168018728
39,44.0,99.86642866472847
40,45.0,99.86826364995675
41,46.0,99.86999394017508
42,47.0,99.87162621804369
43,48.0,99.87316660933445
44,49.0,99.8746207397562
45,50.0,99.87599378496107
46,51.0,99.87729051466772
47,52.0,99.87851533169334
48,53.0,99.87967230656704
49,54.0,99.88076520829728
50,55.0,99.88179753178278
51,56.0,99.88277252228667
52,57.0,99.88369319733427
53,58.0,99.88456236634575
54,59.0,99.8853826482721
55,60.0,99.88615648746756
56,61.0,99.88688616800087
57,62.0,99.8875738265815
58,63.0,99.88822146425481
59,64.0,99.88883095700083
60,65.0,99.88940406535467
61,66.0,99.88994244315232
62,67.0,99.89044764549332
63,68.0,99.89092113600077
64,69.0,99.89136429345005
65,70.0,99.89177841782933
66,71.0,99.89216473588809
67,72.0,99.89252440622298
68,73.0,99.89285852394593
69,74.0,99.89316812497368
70,75.0,99.89345418997404
71,76.0,99.8937176480007
72,77.0,99.89395937984484
73,78.0,99.89418022112888
74,79.0,99.89438096516524
75,80.0,99.89456236560066
76,81.0,99.89472513886486
77,82.0,99.89486996643967
78,83.0,99.89499749696449
79,84.0,99.89510834819112
80,85.0,99.89520310880063
81,86.0,99.89528234009364
82,87.0,99.89534657756384
83,88.0,99.89539633236426
84,89.0,99.89543209267475
85,90.0,99.89545432497839
86,91.0,99.89546347525334
87,92.0,99.89545997008754
88,93.0,99.895444217721
89,94.0,99.89541660902184
90,95.0,99.89537751840057
91,96.0,99.89532730466722
92,97.0,99.89526631183561
93,98.0,99.8951948698781
94,99.0,99.89511329543488
