,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
32,9.0,30.0,17.0,98.0,55.0,3500.0,23.0,24.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1184.7234999999998,0.59870935129434,511.2670027056542,31.81789231382661,79.0,168.5,89.0,232.49815915780846,118.10420488550969,73.30618702743867,191.41039191294834,41.087767244860125
17,9.0,30.0,17.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1198.7855000000002,0.5987093512943401,502.9920085233009,31.990240580589273,79.0,170.5,89.0,230.08618897223334,117.36109029670884,71.63733143066436,188.9984217273732,41.08776724486015
45,9.0,30.0,17.0,97.0,55.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1170.6615000000002,0.5987093512943401,501.8449052608416,31.897049482838295,79.0,166.5,89.0,232.90959165966274,118.51962775234585,73.30219666245675,191.82182441480262,41.08776724486011
51,9.0,32.0,17.0,100.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1221.9255,0.5612900168384438,516.3813041962586,31.984049320617352,81.0,169.5,89.0,228.91586202673975,118.36312555516035,71.38113869720524,189.7442642523656,39.17159777437414
39,9.0,32.0,17.0,102.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1236.3435000000002,0.5612900168384438,516.3813041962586,31.984049320617352,81.0,171.5,89.0,228.9158620267397,118.36312555516035,71.38113869720524,189.7442642523656,39.1715977743741
57,9.0,35.0,14.0,101.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1153.8660000000004,0.6231464676737007,503.9203104758267,31.848646634141193,84.0,165.5,83.0,234.4896488530114,121.45279842200028,73.56772905266928,195.02052747466956,39.46912137834183
55,9.0,35.0,14.0,100.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1146.894,0.6231464676737007,503.9203104758267,31.848646634141193,84.0,164.5,83.0,234.48964885301146,121.45279842200028,73.56772905266928,195.02052747466956,39.46912137834189
43,9.0,35.0,14.0,99.0,55.0,3500.0,23.0,24.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1139.9220000000003,0.6231464676737009,502.45086049164456,31.741835292620582,84.0,163.5,83.0,236.74026903112562,121.94891923743987,75.32222841534389,197.27114765278375,39.46912137834187
35,9.0,35.0,14.0,97.0,55.0,3500.0,23.0,23.0,13.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1119.0060000000003,0.6231464676737009,508.5567962975337,31.754203069062893,84.0,160.5,83.0,236.77380214985826,121.91010907167801,75.3945716998384,197.30468077151642,39.46912137834187
46,9.0,35.0,19.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1842.6600000000003,0.45916055512799014,522.1411255868721,31.944740914443567,87.00000000000001,176.50000000000003,120.0,175.51516023528148,78.67196761489426,51.321574199324274,129.99354181421853,45.521618421062975
