,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
20,9.0,30.0,18.0,100.0,64.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1354.8500000000001,0.5654477206668768,503.1518737729098,31.781973566006705,79.0,171.5,100.0,212.94751631185594,102.65687683694574,66.03658325366104,168.69346009060678,44.25405622124916
56,9.0,30.0,16.0,93.0,63.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,1193.295,0.6361286857502364,539.8948664934708,31.76258213269612,79.0,159.0,95.0,222.8919210687269,102.28487056681092,74.73696441949195,177.02183498630288,45.87008608242402
24,9.0,31.0,17.0,91.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,1233.8400000000001,0.5793961464138774,595.8241669496783,32.08148779867275,80.0,159.0,97.0,218.40362873241935,101.17669398605993,73.5193966750137,174.69609066107364,43.707538071345716
15,9.0,31.0,18.0,99.0,64.0,3500.0,23.0,23.0,9.0,11.0,3.0,4.0,2.0,2.0,0.0,0.0,1380.0000000000002,0.5472074716131066,546.6600714696119,31.87704650760416,80.0,172.50000000000003,100.0,209.17399246413828,100.95142669770162,65.02938784126736,165.98081453896899,43.19317792516932
10,9.0,31.0,16.0,93.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,1208.4,0.6156084055647448,560.8597317273689,31.909411370231712,80.0,159.0,95.0,220.3586833120167,101.13129608298014,74.45691964307011,175.58821572605024,44.77046758596645
65,9.0,31.0,14.0,99.0,63.0,3500.0,23.0,23.0,9.0,10.0,3.0,3.0,2.0,2.0,0.0,-4.0,1186.64,0.7035524635025654,506.8320639301588,31.742586730686806,80.0,163.0,91.0,225.51148239994987,99.12405229799796,79.0479528391063,178.17200513710426,47.339477262845605
66,9.0,31.0,17.0,89.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1105.28,0.5793961464138775,758.4322199698845,32.168962637593566,80.0,157.0,88.0,232.35487744797024,113.6190123622159,79.08366559834793,192.70267796056385,39.65219948740642
49,9.0,31.0,14.0,99.0,54.0,3500.0,23.0,23.0,9.0,9.0,3.0,3.0,1.0,2.0,0.0,0.0,1062.72,0.7035524635025654,669.7601265378551,32.01769394254179,80.0,162.0,82.0,235.07585401238566,113.35300675679571,79.06529631544335,192.41830307223904,42.65755094014662
77,9.0,31.0,16.0,91.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,2.0,0.0,3.0,1193.2,0.6156084055647447,572.5680795018031,31.864469293522976,80.0,157.0,95.0,223.3607975862173,100.84476681716954,77.74556318308136,178.5903300002509,44.77046758596643
85,9.0,31.0,18.0,99.0,64.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1364.0000000000002,0.5472074716131067,545.773113817913,31.835348816964576,80.0,170.5,100.0,209.81828854234215,101.25704684906715,65.36806376810564,166.6251106171728,43.193177925169344
87,9.0,31.0,18.0,89.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,1259.2800000000002,0.5472074716131066,629.695036813966,31.746431549570424,80.0,159.0,99.0,217.25940936187826,101.10632404177372,73.39183917418688,174.4981632159606,42.761246145917646
90,9.0,31.0,16.0,89.0,54.0,3500.0,23.0,23.0,8.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1066.3999999999999,0.6156084055647448,729.0331066368776,31.785975924051076,80.0,155.0,86.0,233.15787158138914,113.61122999814607,79.01758671594713,192.6288167140932,40.529054867295955
71,9.0,31.0,14.0,99.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,2.0,0.0,-4.0,1172.08,0.7035524635025655,506.12125941197064,31.79870683281803,80.0,161.0,91.0,226.0376520191977,99.5963045177665,79.10187023858558,178.69817475635207,47.33947726284563
61,9.0,31.0,14.0,97.0,54.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1043.04,0.7035524635025656,674.0103239367511,31.77129131258557,80.0,159.0,82.0,236.14536353032787,113.8644893299709,79.62332326021037,193.48781259018125,42.657550940146585
22,9.0,33.0,13.0,100.0,63.0,3500.0,23.0,23.0,9.0,8.0,3.0,3.0,2.0,2.0,0.0,1.0,1167.6799999999998,0.7117523756646,517.9615247107239,31.800369540456394,82.0,160.0,89.0,228.05291942314238,100.65230673904259,80.70284976574341,181.355156504786,46.69776291835641
59,9.0,33.0,12.0,100.0,54.0,3500.0,23.0,23.0,9.0,11.0,3.0,3.0,1.0,2.0,0.0,0.0,1029.7559999999999,0.7710650736366501,617.855845648135,31.83579871554921,82.0,161.0,78.0,237.4672268407268,113.30682375646002,80.73692255102165,194.04374630748168,43.423480533245126
58,9.0,33.0,17.0,100.0,64.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1362.102,0.5442812284494001,510.3300056510877,31.87007622933919,82.0,169.5,98.0,211.18863438368737,102.14889107758904,66.8780520277586,169.02694310534764,42.161691278339724
26,9.0,33.0,12.0,100.0,54.0,3500.0,23.0,24.0,11.0,8.0,3.0,3.0,1.0,2.0,0.0,0.0,1016.9639999999999,0.77106507363665,623.726210538577,31.745566740698923,82.0,159.0,78.0,238.756607023518,114.07505132743651,81.25807516283638,195.3331264902729,43.42348053324511
84,9.0,31.0,19.0,97.0,64.0,3500.0,24.0,24.0,11.0,11.0,4.0,4.0,1.0,2.0,0.0,0.0,1473.0840000000003,0.5184070783703115,568.3585178459576,31.986346719927354,83.0,174.00000000000003,102.00000000000001,206.8995512038848,96.38907806728993,68.1813454048109,164.57042347210083,42.32912773178398
55,9.0,31.0,21.0,97.0,74.0,3500.0,24.0,24.0,11.0,14.0,4.0,5.0,2.0,2.0,0.0,0.0,1747.482,0.46903497566837715,536.403117018286,31.979278469134844,83.0,181.50000000000003,115.99999999999999,189.85275187668915,86.06908895821064,59.08108969752666,145.1501786557373,44.702573220951855
99,9.0,31.0,19.0,100.0,64.0,3500.0,24.0,24.0,11.0,11.0,4.0,4.0,1.0,2.0,0.0,0.0,1498.4820000000004,0.5184070783703115,545.0272632429027,32.24006040289973,83.0,177.00000000000003,102.00000000000001,206.32704343282776,96.15180869441694,67.84610700662685,163.99791570104378,42.32912773178396
12,9.0,31.0,19.0,97.0,64.0,3500.0,24.0,24.0,11.0,9.0,4.0,4.0,1.0,2.0,0.0,0.0,1456.1520000000005,0.5184070783703115,567.4715601942587,31.803663383267576,83.0,172.0,102.00000000000001,207.66854566739497,96.52863613302341,68.81078180258757,165.33941793561098,42.32912773178398
