,load,eff
0,5.0,99.38042043484353
1,6.0,99.48279837903627
2,7.0,99.55578751060251
3,8.0,99.6104086342772
4,9.0,99.6527844193575
5,10.0,99.68658846742176
6,11.0,99.71415852492888
7,12.0,99.73705308951814
8,13.0,99.75635112109366
9,14.0,99.77282330530126
10,15.0,99.7870348116145
11,16.0,99.7994095171386
12,17.0,99.81027156318927
13,18.0,99.81987305967877
14,19.0,99.82841304074829
15,20.0,99.83605073371086
16,21.0,99.84291503686752
17,22.0,99.84911141246442
18,23.0,99.85472698148773
19,24.0,99.85983434475907
20,25.0,99.86449448696871
21,26.0,99.86875901054684
22,27.0,99.87267187311917
23,28.0,99.87627075265063
24,29.0,99.87958813014542
25,30.0,99.88265215580725
26,31.0,99.88548734755541
27,32.0,99.8881151585693
28,33.0,99.89055444164295
29,34.0,99.89282183159463
30,35.0,99.8949320621205
31,36.0,99.89689822983938
32,37.0,99.8987320155194
33,38.0,99.90044387037415
34,39.0,99.90204317369789
35,40.0,99.90353836685544
36,41.0,99.90493706766385
37,42.0,99.90624616843375
38,43.0,99.90747192033065
39,44.0,99.90862000623221
40,45.0,99.9096956038715
41,46.0,99.91070344074386
42,47.0,99.91164784200463
43,48.0,99.91253277237954
44,49.0,99.91336187294321
45,50.0,99.91413849348434
46,51.0,99.91486572106308
47,52.0,99.9155464052734
48,53.0,99.91618318064562
49,54.0,99.91677848655958
50,55.0,99.91733458498577
51,56.0,99.91785357632531
52,57.0,99.91833741358276
53,58.0,99.91878791507271
54,59.0,99.9192067758342
55,60.0,99.91959557790364
56,61.0,99.91995579957734
57,62.0,99.9202888237777
58,63.0,99.9205959456225
59,64.0,99.92087837928464
60,65.0,99.92113726421873
61,66.0,99.92137367082147
62,67.0,99.92158860558533
63,68.0,99.92178301579732
64,69.0,99.92195779382924
65,70.0,99.92211378106023
66,71.0,99.92225177146786
67,72.0,99.9223725149197
68,73.0,99.92247672019477
69,74.0,99.9225650577597
70,75.0,99.92263816232291
71,76.0,99.92269663518708
72,77.0,99.92274104641842
73,78.0,99.92277193684895
74,79.0,99.92278981992679
75,80.0,99.92279518342771
76,81.0,99.92278849103973
77,82.0,99.92277018383191
78,83.0,99.92274068161709
79,84.0,99.9227003842169
80,85.0,99.92264967263786
81,86.0,99.92258891016532
82,87.0,99.9225184433818
83,88.0,99.92243860311612
84,89.0,99.9223497053283
85,90.0,99.92225205193574
86,91.0,99.92214593158482
87,92.0,99.92203162037192
88,93.0,99.92190938251846
89,94.0,99.92177947100231
90,95.0,99.92164212814966
91,96.0,99.92149758618977
92,97.0,99.92134606777543
93,98.0,99.9211877864716
94,99.0,99.92102294721431
