,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
14,9.0,31.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,12.0,4.0,6.0,3.0,3.0,-2.0,0.0,2088.2800000000007,0.4477152040470872,520.6024233521692,31.972434170990528,83.0,185.00000000000003,136.0,176.19348983826,79.00736150028172,46.54971495856147,125.55707645884318,50.63641337941684
81,9.0,31.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,17.0,4.0,6.0,3.0,3.0,5.0,0.0,2144.7200000000003,0.44771520404708726,524.9606253547234,31.815141814414833,83.0,190.0,136.0,175.21177041171046,78.93930948458159,45.63604754771201,124.5753570322936,50.63641337941685
28,9.0,31.0,22.0,100.0,82.0,3500.0,24.0,24.0,14.0,10.0,4.0,5.0,3.0,3.0,0.0,0.0,1908.5850000000003,0.44771520404708715,516.4544124024111,32.10757750307993,83.0,182.50000000000003,126.0,175.0130876411521,77.95417495823617,50.145764993162125,128.09993995139828,46.91314768975382
90,9.0,31.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,13.0,4.0,6.0,3.0,3.0,-2.0,0.0,2099.5680000000007,0.4477152040470872,520.9767004984934,31.95404238247967,83.0,186.00000000000003,136.0,175.96170703341554,79.40640326215406,45.91889039184465,125.3252936539987,50.63641337941684
67,9.0,31.0,22.0,100.0,82.0,3500.0,24.0,24.0,14.0,12.0,4.0,5.0,3.0,3.0,0.0,0.0,1929.5010000000004,0.4477152040470872,509.72528652255306,32.09085323964303,83.0,184.50000000000003,126.0,174.90756888555177,77.83394894891838,50.160472246879564,127.99442119579794,46.91314768975384
87,9.0,31.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,14.0,4.0,6.0,3.0,3.0,-2.0,0.0,2110.8560000000007,0.4477152040470872,522.5303138735027,31.94920465754089,83.0,187.00000000000003,136.0,175.8490637103287,79.39264993394649,45.820000396965355,125.21265033091184,50.63641337941684
35,9.0,35.0,17.0,87.0,82.0,3500.0,23.0,23.0,13.0,10.0,3.0,5.0,1.0,3.0,-9.0,0.0,1539.5520000000004,0.5131794439665771,507.70363465023905,31.803583723418022,84.0,158.00000000000003,116.0,224.37048974680698,122.31022325812435,54.280953576397295,176.59117683452166,47.77931291228536
79,9.0,35.0,17.0,94.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,2.0,3.0,3.0,0.0,1455.8040000000003,0.513179443966577,500.79801836205866,31.971381021299425,84.0,163.5,106.00000000000001,215.73302376560713,109.7451457178887,62.327471420974895,172.0726171388636,43.66040662674353
34,9.0,32.0,22.0,100.0,92.0,3500.0,24.0,24.0,14.0,17.0,4.0,6.0,3.0,3.0,5.0,0.0,2170.5600000000004,0.4337241039206157,561.1241857781297,31.783119254215038,84.0,190.0,136.0,174.22277724103336,78.93930948458159,45.82284205180533,124.76215153638691,49.46062570464644
49,9.0,35.0,18.0,96.0,72.0,3500.0,23.0,23.0,16.0,9.0,3.0,4.0,3.0,3.0,0.0,0.0,1519.5600000000004,0.48466947485732287,513.1596488261396,32.01522755580033,84.0,167.5,108.00000000000001,205.85641925618515,101.5853106186228,61.6292413281329,163.2145519467557,42.64186730942946
