,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,strand1,strand2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
40,8.0,52.0,20.0,97.0,101.0,3500.0,27.0,27.0,9.0,9.0,7.0,4.0,1.0,1.0,0.0,-17.0,2449.9999999999995,799.9999999999999,2844.0405000000014,0.33029758683185345,641.4009559410804,31.76821607561788,113.00000000000001,178.50000000000003,141.0,102.57700879532103,17.9335216977183,37.486690420194904,55.42021211791321,47.15679667740783
36,8.0,52.0,20.0,100.0,101.0,3500.0,27.0,27.0,9.0,9.0,7.0,4.0,1.0,1.0,0.0,-1.0,2449.9999999999995,799.9999999999999,2891.8395000000014,0.33029758683185345,633.7732801752034,31.87870624298968,113.00000000000001,181.50000000000003,141.0,102.3345377451362,17.84865630553631,37.32908476219206,55.17774106772837,47.15679667740783
12,8.0,58.0,14.0,100.0,83.0,3500.0,25.0,25.0,8.0,8.0,5.0,3.0,1.0,1.0,0.0,-13.0,1249.9999999999998,449.9999999999999,2069.5950000000003,0.4230412442181375,537.2204769061938,31.77305417183906,113.00000000000001,165.0,111.0,148.35953858369163,30.163698242552293,73.6115999470218,103.7752981895741,44.58424039411754
48,8.0,62.0,12.0,99.0,75.0,3500.0,24.0,24.0,9.0,8.0,4.0,3.0,1.0,1.0,0.0,-13.0,799.9999999999999,449.9999999999999,1788.8310000000001,0.4617063041735587,515.365871480593,31.752210173843718,114.0,158.5,99.0,165.14644851002737,48.44910405359832,74.27437377235277,122.7234778259511,42.4229706840763
6,8.0,62.0,14.0,100.0,75.0,3500.0,24.0,24.0,9.0,9.0,4.0,4.0,1.0,1.0,0.0,-9.0,799.9999999999999,799.9999999999999,1937.43,0.39574826072019315,627.5659947803819,31.774969460227897,114.0,165.0,103.0,126.87280596950248,49.076641365905466,38.41736414868399,87.49400551458945,39.37880045491302
27,8.0,59.0,17.0,100.0,83.0,3500.0,25.0,25.0,9.0,9.0,5.0,4.0,1.0,1.0,0.0,3.0,1249.9999999999998,799.9999999999999,2300.8050000000007,0.34248204417260975,640.1027562010396,31.79876635653737,114.00000000000001,172.50000000000003,117.0,107.0705065200973,30.102758685887007,36.77450694906506,66.87726563495207,40.19324088514523
29,8.0,63.0,12.0,97.0,75.0,3500.0,24.0,24.0,9.0,8.0,4.0,3.0,1.0,1.0,0.0,-13.0,799.9999999999999,449.9999999999999,1781.7525,0.45437763267874026,515.8980440032741,31.788562584752334,115.0,156.5,99.0,165.4989200268733,49.53181449482092,74.04347156676982,123.57528606159075,41.923633965282555
80,8.0,57.0,17.0,100.0,92.0,3500.0,26.0,26.0,9.0,10.0,6.0,4.0,1.0,1.0,0.0,-17.0,1799.9999999999995,799.9999999999999,2535.7500000000005,0.35449895800322767,612.5359871367366,31.833841990492648,115.00000000000001,175.00000000000003,126.0,103.59382532375012,22.704881956212137,36.485075190434955,59.18995714664709,44.40386817710303
34,8.0,57.0,17.0,104.0,92.0,3500.0,26.0,26.0,9.0,9.0,6.0,4.0,1.0,1.0,0.0,-5.0,1799.9999999999995,799.9999999999999,2579.220000000001,0.3544989580032277,590.2326796711,31.753895794488056,115.00000000000001,178.00000000000003,126.0,103.57240418765451,22.664190030534936,36.50434598001655,59.16853601055149,44.40386817710302
91,8.0,57.0,17.0,100.0,92.0,3500.0,26.0,26.0,9.0,9.0,6.0,4.0,1.0,1.0,0.0,-17.0,1799.9999999999995,799.9999999999999,2521.2600000000007,0.3544989580032276,612.6326170550707,31.847190239007016,115.00000000000001,174.00000000000003,126.0,103.6938548349295,22.704881956212137,36.58510470161434,59.289986657826475,44.403868177103014
