,N1,w1,l1,l2,h1,per,space1,space2,space3,space4,coil_width1,coil_width2,move_z1,move_z2,offset_z1,offset_z2,V,B,Lmt,Llt,w,l,h,total_loss,copperloss_tx,copperloss_rx,copperloss,coreloss
42,9.0,31.0,18.0,100.0,64.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1372.0000000000002,0.5472074716131066,501.4097435730036,31.82964810509682,80.0,171.5,100.0,211.15920307029387,99.49849177761678,68.46753336750778,167.96602514512455,43.1931779251693
59,9.0,31.0,18.0,99.0,64.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,2.0,2.0,0.0,0.0,1364.0000000000002,0.5472074716131065,509.7172661570889,31.804013249167294,80.0,170.5,100.0,211.86787196784505,99.54659317199398,69.12810087068178,168.67469404267575,43.19317792516931
88,9.0,31.0,17.0,96.0,55.0,3500.0,23.0,23.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1178.3600000000001,0.5793961464138775,584.5100961712008,31.939683261656178,80.0,165.5,89.0,226.70587638090097,112.92672154818663,73.67636216931466,186.6030837175013,40.10279266339969
71,9.0,31.0,17.0,95.0,55.0,3500.0,23.0,23.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1171.24,0.5793961464138775,596.8727881666264,31.92901239525363,80.0,164.5,89.0,226.91504580134085,112.97854610943934,73.83370702850185,186.81225313794118,40.10279266339969
10,9.0,32.0,18.0,100.0,64.0,3500.0,23.0,23.0,9.0,10.0,3.0,4.0,2.0,2.0,0.0,0.0,1397.25,0.5301072381251969,531.4092695459507,31.813034084033678,81.0,172.50000000000003,100.0,209.94100466014123,99.35538923421007,68.39539175540155,167.7507809896116,42.19022367052965
97,9.0,32.0,16.0,110.0,55.0,3500.0,23.0,23.0,9.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1250.8425000000002,0.5963706428908466,519.6173804265602,31.780284278625277,81.0,177.50000000000003,87.0,224.30289898601592,112.21844511969802,72.03616664140064,184.25461176109866,40.04828722491724
79,9.0,32.0,16.0,104.0,55.0,3500.0,23.0,23.0,12.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1208.5605,0.5963706428908466,531.3208580327051,31.763880516328747,81.0,171.5,87.0,225.25836162459063,112.14448824918591,73.0655861504875,185.21007439967343,40.04828722491721
96,9.0,32.0,17.0,95.0,55.0,3500.0,23.0,23.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1185.8805,0.5612900168384438,626.4323231916558,31.92901239525363,81.0,164.5,89.0,225.99554858563783,112.97854610943934,73.84540470182435,186.82395081126367,39.17159777437414
95,9.0,32.0,17.0,96.0,55.0,3500.0,23.0,23.0,10.0,10.0,3.0,4.0,1.0,1.0,0.0,0.0,1200.2984999999999,0.5612900168384437,614.5096221441478,31.893432404788168,81.0,166.5,89.0,225.55943733636246,112.78361900477994,73.60422055720842,186.38783956198836,39.17159777437413
82,9.0,32.0,16.0,108.0,55.0,3500.0,23.0,23.0,10.0,9.0,3.0,4.0,1.0,1.0,0.0,0.0,1236.7485000000001,0.5963706428908466,544.1787924441402,31.76446604175637,81.0,175.50000000000003,87.0,224.4077512600974,112.21844511969802,72.14101891548216,184.35946403518017,40.04828722491721
