,n_estimators,learning_rate,max_depth,num_leaves,R2,MAE,MSE,RMSE,MAPE,MPE
0,10.0,0.001,-1.0,31.0,0.01637053582138619,5.948009539609872,59.82350017475608,7.7344441373256405,66.38976752789692,-41.861092552660395
1,10.0,0.01,-1.0,31.0,0.1515681134519254,5.510494629376803,51.60092870160761,7.183264510800842,61.462934601238885,-38.76705316064972
2,10.0,0.05,-1.0,31.0,0.5477503597740435,3.973525073215673,27.506190571544742,5.2445023169161535,44.03950967746706,-27.61182029467105
3,10.0,0.1,-1.0,31.0,0.7757823929805573,2.7446292048901535,13.637571535989148,3.692743250823775,29.928114743850916,-18.266267330622036
4,10.0,0.001,-1.0,60.0,0.016974980427518972,5.946609535231235,59.78671937378,7.7320667303245845,66.37712203676617,-41.852825426304946
5,10.0,0.01,-1.0,60.0,0.15712622456267372,5.495990137178912,51.26275465383206,7.159692240948085,61.323173929948915,-38.677652001765665
6,10.0,0.05,-1.0,60.0,0.5664261303857643,3.9003716490849016,26.369987471973957,5.1350592322088096,43.335068017701055,-27.216250705931174
7,10.0,0.1,-1.0,60.0,0.7980684177093789,2.617320263506138,12.281910697617516,3.5044190051277235,28.678457976688026,-17.569174116760678
8,10.0,0.001,-1.0,80.0,0.017197517849103616,5.945956522809361,59.77318455903678,7.731191477925241,66.37127482251239,-41.849447668767056
9,10.0,0.01,-1.0,80.0,0.1591329268523774,5.489759371574635,51.140673338222186,7.151163090174441,61.26452779309371,-38.64281466689634
10,10.0,0.05,-1.0,80.0,0.5730780618786429,3.8716479795150804,25.965276952972783,5.095508198869061,43.06465371828351,-27.06847290836577
11,10.0,0.1,-1.0,80.0,0.8054896306016772,2.573425148535355,11.830387539251255,3.4394119042552234,28.24315095358761,-17.320444235088917
12,10.0,0.001,-1.0,100.0,0.017353783214293105,5.945566658095281,59.76367763054115,7.7305767277931166,66.36666870832335,-41.84651473355771
13,10.0,0.01,-1.0,100.0,0.1605394965225799,5.485787487855043,51.05516035210517,7.145180692580297,61.21840094161905,-38.61336101548905
14,10.0,0.05,-1.0,100.0,0.5778749789905613,3.8532629666720055,25.673346797304838,5.066791526292965,42.85295362230879,-26.937467235358163
15,10.0,0.1,-1.0,100.0,0.8106216080801302,2.542167895723799,11.518100536857641,3.393696918507615,27.91050132250954,-17.135667052579738
16,10.0,0.001,-1.0,127.0,0.017495980804113874,5.9452353350784515,59.75502778486308,7.730017315472514,66.36258073991871,-41.843302613615734
17,10.0,0.01,-1.0,127.0,0.16196632155857588,5.4821957250998405,50.968375520467944,7.139105494571649,61.17862955805949,-38.58473913082516
18,10.0,0.05,-1.0,127.0,0.5820967133753185,3.838407762781266,25.416829751484407,5.04139985552321,42.686596958427984,-26.826619989167007
19,10.0,0.1,-1.0,127.0,0.8158320390129077,2.5108196383873356,11.20128348965632,3.346694279893901,27.59727013840659,-16.968102610558113
20,10.0,0.001,1.0,31.0,0.009831307188492944,5.962775950929031,60.2212568397283,7.760112575297593,66.58683420766678,-42.00819175008299
21,10.0,0.01,1.0,31.0,0.09146306098363013,5.6595378001953325,55.25687100101597,7.433365139783835,63.38926606954865,-40.158909524837796
22,10.0,0.05,1.0,31.0,0.3399403942556269,4.702247709687176,40.145531574783604,6.33589427775381,52.81223482245963,-33.45405512719329
23,10.0,0.1,1.0,31.0,0.5079607267596777,4.000980625928939,29.926846513306693,5.470374500349588,44.159097385352155,-27.276856166234758
24,10.0,0.001,1.0,60.0,0.009831307188492944,5.962775950929031,60.2212568397283,7.760112575297593,66.58683420766678,-42.00819175008299
25,10.0,0.01,1.0,60.0,0.09146306098363013,5.6595378001953325,55.25687100101597,7.433365139783835,63.38926606954865,-40.158909524837796
26,10.0,0.05,1.0,60.0,0.3399403942556269,4.702247709687176,40.145531574783604,6.33589427775381,52.81223482245963,-33.45405512719329
27,10.0,0.1,1.0,60.0,0.5079607267596777,4.000980625928939,29.926846513306693,5.470374500349588,44.159097385352155,-27.276856166234758
28,10.0,0.001,1.0,80.0,0.009831307188492944,5.962775950929031,60.2212568397283,7.760112575297593,66.58683420766678,-42.00819175008299
29,10.0,0.01,1.0,80.0,0.09146306098363013,5.6595378001953325,55.25687100101597,7.433365139783835,63.38926606954865,-40.158909524837796
30,10.0,0.05,1.0,80.0,0.3399403942556269,4.702247709687176,40.145531574783604,6.33589427775381,52.81223482245963,-33.45405512719329
31,10.0,0.1,1.0,80.0,0.5079607267596777,4.000980625928939,29.926846513306693,5.470374500349588,44.159097385352155,-27.276856166234758
32,10.0,0.001,1.0,100.0,0.009831307188492944,5.962775950929031,60.2212568397283,7.760112575297593,66.58683420766678,-42.00819175008299
33,10.0,0.01,1.0,100.0,0.09146306098363013,5.6595378001953325,55.25687100101597,7.433365139783835,63.38926606954865,-40.158909524837796
34,10.0,0.05,1.0,100.0,0.3399403942556269,4.702247709687176,40.145531574783604,6.33589427775381,52.81223482245963,-33.45405512719329
35,10.0,0.1,1.0,100.0,0.5079607267596777,4.000980625928939,29.926846513306693,5.470374500349588,44.159097385352155,-27.276856166234758
36,10.0,0.001,1.0,127.0,0.009831307188492944,5.962775950929031,60.2212568397283,7.760112575297593,66.58683420766678,-42.00819175008299
37,10.0,0.01,1.0,127.0,0.09146306098363013,5.6595378001953325,55.25687100101597,7.433365139783835,63.38926606954865,-40.158909524837796
38,10.0,0.05,1.0,127.0,0.3399403942556269,4.702247709687176,40.145531574783604,6.33589427775381,52.81223482245963,-33.45405512719329
39,10.0,0.1,1.0,127.0,0.5079607267596777,4.000980625928939,29.926846513306693,5.470374500349588,44.159097385352155,-27.276856166234758
40,10.0,0.001,2.0,31.0,0.013080026836847924,5.955098214749512,60.02367091107287,7.747371699347111,66.46936962603284,-41.921673775389436
41,10.0,0.01,2.0,31.0,0.12117768007203897,5.581757255574581,53.44967289063171,7.310797491178843,62.231719655868595,-39.32956101584798
42,10.0,0.05,2.0,31.0,0.43737804658621904,4.350278063435896,34.21968165514664,5.849586300149733,47.718855133304444,-29.91021825399207
43,10.0,0.1,2.0,31.0,0.6238803932242782,3.4881761169265753,22.876904283888955,4.782778550136719,36.807750840954654,-21.98356642058039
44,10.0,0.001,2.0,60.0,0.013080026836847924,5.955098214749512,60.02367091107287,7.747371699347111,66.46936962603284,-41.921673775389436
45,10.0,0.01,2.0,60.0,0.12117768007203897,5.581757255574581,53.44967289063171,7.310797491178843,62.231719655868595,-39.32956101584798
46,10.0,0.05,2.0,60.0,0.43737804658621904,4.350278063435896,34.21968165514664,5.849586300149733,47.718855133304444,-29.91021825399207
47,10.0,0.1,2.0,60.0,0.6238803932242782,3.4881761169265753,22.876904283888955,4.782778550136719,36.807750840954654,-21.98356642058039
48,10.0,0.001,2.0,80.0,0.013080026836847924,5.955098214749512,60.02367091107287,7.747371699347111,66.46936962603284,-41.921673775389436
49,10.0,0.01,2.0,80.0,0.12117768007203897,5.581757255574581,53.44967289063171,7.310797491178843,62.231719655868595,-39.32956101584798
50,10.0,0.05,2.0,80.0,0.43737804658621904,4.350278063435896,34.21968165514664,5.849586300149733,47.718855133304444,-29.91021825399207
51,10.0,0.1,2.0,80.0,0.6238803932242782,3.4881761169265753,22.876904283888955,4.782778550136719,36.807750840954654,-21.98356642058039
52,10.0,0.001,2.0,100.0,0.013080026836847924,5.955098214749512,60.02367091107287,7.747371699347111,66.46936962603284,-41.921673775389436
53,10.0,0.01,2.0,100.0,0.12117768007203897,5.581757255574581,53.44967289063171,7.310797491178843,62.231719655868595,-39.32956101584798
54,10.0,0.05,2.0,100.0,0.43737804658621904,4.350278063435896,34.21968165514664,5.849586300149733,47.718855133304444,-29.91021825399207
55,10.0,0.1,2.0,100.0,0.6238803932242782,3.4881761169265753,22.876904283888955,4.782778550136719,36.807750840954654,-21.98356642058039
56,10.0,0.001,2.0,127.0,0.013080026836847924,5.955098214749512,60.02367091107287,7.747371699347111,66.46936962603284,-41.921673775389436
57,10.0,0.01,2.0,127.0,0.12117768007203897,5.581757255574581,53.44967289063171,7.310797491178843,62.231719655868595,-39.32956101584798
58,10.0,0.05,2.0,127.0,0.43737804658621904,4.350278063435896,34.21968165514664,5.849586300149733,47.718855133304444,-29.91021825399207
59,10.0,0.1,2.0,127.0,0.6238803932242782,3.4881761169265753,22.876904283888955,4.782778550136719,36.807750840954654,-21.98356642058039
60,10.0,0.001,3.0,31.0,0.01422325419428796,5.95275102383341,59.954109686349774,7.742882199757268,66.43078361023004,-41.89002735072197
61,10.0,0.01,3.0,31.0,0.13242367154047538,5.556389652506995,52.76549643302492,7.263863369648722,61.850584339345836,-39.03247543326655
62,10.0,0.05,3.0,31.0,0.4839278084699671,4.19026933229347,31.38811392456309,5.602364954578938,45.80704096849947,-28.677305994320466
63,10.0,0.1,3.0,31.0,0.6940400740780728,3.150828247791035,18.609535344112704,4.313690298365979,33.27636357633584,-19.970812969272636
64,10.0,0.001,3.0,60.0,0.01422325419428796,5.95275102383341,59.954109686349774,7.742882199757268,66.43078361023004,-41.89002735072197
65,10.0,0.01,3.0,60.0,0.13242367154047538,5.556389652506995,52.76549643302492,7.263863369648722,61.850584339345836,-39.03247543326655
66,10.0,0.05,3.0,60.0,0.4839278084699671,4.19026933229347,31.38811392456309,5.602364954578938,45.80704096849947,-28.677305994320466
67,10.0,0.1,3.0,60.0,0.6940400740780728,3.150828247791035,18.609535344112704,4.313690298365979,33.27636357633584,-19.970812969272636
68,10.0,0.001,3.0,80.0,0.01422325419428796,5.95275102383341,59.954109686349774,7.742882199757268,66.43078361023004,-41.89002735072197
69,10.0,0.01,3.0,80.0,0.13242367154047538,5.556389652506995,52.76549643302492,7.263863369648722,61.850584339345836,-39.03247543326655
70,10.0,0.05,3.0,80.0,0.4839278084699671,4.19026933229347,31.38811392456309,5.602364954578938,45.80704096849947,-28.677305994320466
71,10.0,0.1,3.0,80.0,0.6940400740780728,3.150828247791035,18.609535344112704,4.313690298365979,33.27636357633584,-19.970812969272636
72,10.0,0.001,3.0,100.0,0.01422325419428796,5.95275102383341,59.954109686349774,7.742882199757268,66.43078361023004,-41.89002735072197
73,10.0,0.01,3.0,100.0,0.13242367154047538,5.556389652506995,52.76549643302492,7.263863369648722,61.850584339345836,-39.03247543326655
74,10.0,0.05,3.0,100.0,0.4839278084699671,4.19026933229347,31.38811392456309,5.602364954578938,45.80704096849947,-28.677305994320466
75,10.0,0.1,3.0,100.0,0.6940400740780728,3.150828247791035,18.609535344112704,4.313690298365979,33.27636357633584,-19.970812969272636
76,10.0,0.001,3.0,127.0,0.01422325419428796,5.95275102383341,59.954109686349774,7.742882199757268,66.43078361023004,-41.89002735072197
77,10.0,0.01,3.0,127.0,0.13242367154047538,5.556389652506995,52.76549643302492,7.263863369648722,61.850584339345836,-39.03247543326655
78,10.0,0.05,3.0,127.0,0.4839278084699671,4.19026933229347,31.38811392456309,5.602364954578938,45.80704096849947,-28.677305994320466
79,10.0,0.1,3.0,127.0,0.6940400740780728,3.150828247791035,18.609535344112704,4.313690298365979,33.27636357633584,-19.970812969272636
80,10.0,0.001,4.0,31.0,0.015334950318995299,5.95013767984425,59.88649429484197,7.7385149085488845,66.40345856495745,-41.87049535363791
81,10.0,0.01,4.0,31.0,0.1423730116177517,5.531273363346408,52.1602508143326,7.2220880424030485,61.5873516345334,-38.847015915830994
82,10.0,0.05,4.0,31.0,0.5182473888837886,4.070836307185988,29.30058175437718,5.412868356687947,44.636255992672055,-27.937105297770007
83,10.0,0.1,4.0,31.0,0.7404032521635606,2.912570774331615,15.789608635165365,3.973415675714591,31.0181448897272,-18.76785842119641
84,10.0,0.001,4.0,60.0,0.015334950318995299,5.95013767984425,59.88649429484197,7.7385149085488845,66.40345856495745,-41.87049535363791
85,10.0,0.01,4.0,60.0,0.1423730116177517,5.531273363346408,52.1602508143326,7.2220880424030485,61.5873516345334,-38.847015915830994
86,10.0,0.05,4.0,60.0,0.5182473888837886,4.070836307185988,29.30058175437718,5.412868356687947,44.636255992672055,-27.937105297770007
87,10.0,0.1,4.0,60.0,0.7404032521635606,2.912570774331615,15.789608635165365,3.973415675714591,31.0181448897272,-18.76785842119641
88,10.0,0.001,4.0,80.0,0.015334950318995299,5.95013767984425,59.88649429484197,7.7385149085488845,66.40345856495745,-41.87049535363791
89,10.0,0.01,4.0,80.0,0.1423730116177517,5.531273363346408,52.1602508143326,7.2220880424030485,61.5873516345334,-38.847015915830994
90,10.0,0.05,4.0,80.0,0.5182473888837886,4.070836307185988,29.30058175437718,5.412868356687947,44.636255992672055,-27.937105297770007
91,10.0,0.1,4.0,80.0,0.7404032521635606,2.912570774331615,15.789608635165365,3.973415675714591,31.0181448897272,-18.76785842119641
92,10.0,0.001,4.0,100.0,0.015334950318995299,5.95013767984425,59.88649429484197,7.7385149085488845,66.40345856495745,-41.87049535363791
93,10.0,0.01,4.0,100.0,0.1423730116177517,5.531273363346408,52.1602508143326,7.2220880424030485,61.5873516345334,-38.847015915830994
94,10.0,0.05,4.0,100.0,0.5182473888837886,4.070836307185988,29.30058175437718,5.412868356687947,44.636255992672055,-27.937105297770007
95,10.0,0.1,4.0,100.0,0.7404032521635606,2.912570774331615,15.789608635165365,3.973415675714591,31.0181448897272,-18.76785842119641
96,10.0,0.001,4.0,127.0,0.015334950318995299,5.95013767984425,59.88649429484197,7.7385149085488845,66.40345856495745,-41.87049535363791
97,10.0,0.01,4.0,127.0,0.1423730116177517,5.531273363346408,52.1602508143326,7.2220880424030485,61.5873516345334,-38.847015915830994
98,10.0,0.05,4.0,127.0,0.5182473888837886,4.070836307185988,29.30058175437718,5.412868356687947,44.636255992672055,-27.937105297770007
99,10.0,0.1,4.0,127.0,0.7404032521635606,2.912570774331615,15.789608635165365,3.973415675714591,31.0181448897272,-18.76785842119641
100,10.0,0.001,5.0,31.0,0.016265305817033913,5.948041935396691,59.82989578433243,7.734857706247252,66.38524128905394,-41.85866811965637
101,10.0,0.01,5.0,31.0,0.1505030514439042,5.511382903803685,51.66567501976117,7.187770664019948,61.41315807191747,-38.73387667863126
102,10.0,0.05,5.0,31.0,0.5437543405203638,3.9787414704617463,27.749120133665166,5.267617022964617,43.82285376996329,-27.469517775412374
103,10.0,0.1,5.0,31.0,0.7709917912202414,2.754966153483593,13.928610489158084,3.73197791209778,29.583963832178807,-18.011260070821386
104,10.0,0.001,5.0,60.0,0.016270382527602267,5.9480447922361055,59.82958485884732,7.734837677529626,66.38389381081392,-41.8573206414164
105,10.0,0.01,5.0,60.0,0.15055599305320816,5.5113907152990835,51.6624406103702,7.187546181099899,61.39970550083755,-38.72041172190636
106,10.0,0.05,5.0,60.0,0.5439156692062171,3.9787688774554937,27.73930884035669,5.26668546636865,43.77613221116526,-27.422780519862943
107,10.0,0.1,5.0,60.0,0.771238217261631,2.7544965558039674,13.913626916576764,3.7299697302356747,29.518320159769143,-17.952101213278727
