,n_estimators,learning_rate,max_depth,num_leaves,R2,MAE,MSE,RMSE,MAPE,MPE
0,10.0,0.001,-1.0,31.0,0.01388693791955511,5.955231016585348,59.974581172253636,7.744203444032502,66.46626148294567,-41.909727467836525
1,10.0,0.01,-1.0,31.0,0.12871054238718707,5.580884253660971,52.99134517281127,7.279391735448735,62.196321966375095,-39.22200699477502
2,10.0,0.05,-1.0,31.0,0.47063983185093994,4.287866625652962,32.19608124186722,5.674022159128052,47.210199965183875,-29.457373159649336
3,10.0,0.1,-1.0,31.0,0.6781266848181036,3.2857173495165304,19.576686743100026,4.424410718357355,35.20749325166129,-21.09674560938695
4,10.0,0.001,-1.0,60.0,0.014714239325422462,5.952898083932511,59.92427968805422,7.74095471606247,66.44164216998261,-41.8941368293872
5,10.0,0.01,-1.0,60.0,0.13620444974434096,5.558539859617451,52.535552472752364,7.248018765536321,61.957570526035056,-39.070166441506714
6,10.0,0.05,-1.0,60.0,0.4960480153141167,4.188860096363816,30.650660934995585,5.536173026762262,46.20693741068637,-28.854517791957495
7,10.0,0.1,-1.0,60.0,0.7120385503829099,3.113440220462009,17.514063866952263,4.184849759790059,33.52740955477078,-20.151148413250734
8,10.0,0.001,-1.0,80.0,0.015042233157017493,5.952017659121173,59.90432290836269,7.739665885544175,66.43303530409658,-41.88878354275095
9,10.0,0.01,-1.0,80.0,0.13918097437397153,5.549965653488715,52.3544918603666,7.235519130579201,61.87391032225709,-39.01880661552356
10,10.0,0.05,-1.0,80.0,0.5058294506135008,4.1506582619714205,30.055593473897744,5.482177443669643,45.83036517647178,-28.637418286594585
11,10.0,0.1,-1.0,80.0,0.7247788556242992,3.0467379502014276,16.73940770364458,4.091251707718506,32.849301366598105,-19.765663023398297
12,10.0,0.001,-1.0,100.0,0.015264420101455723,5.951301492502441,59.890810206646314,7.738792897411879,66.42666491510359,-41.88529378047355
13,10.0,0.01,-1.0,100.0,0.14129257711692414,5.543403673318832,52.22607640477836,7.226639742067924,61.812602241715936,-38.98386251331233
14,10.0,0.05,-1.0,100.0,0.5127096106883464,4.122658802106463,29.637423320958487,5.443895237153406,45.53695054092568,-28.461755452171154
15,10.0,0.1,-1.0,100.0,0.73390098017133,2.999272781849102,16.184649190731093,4.02287045502626,32.37853947005239,-19.510748401580592
16,10.0,0.001,-1.0,127.0,0.015486624978842145,5.950724777643106,59.87729266839195,7.737919617542462,66.41980691939504,-41.88057949253928
17,10.0,0.01,-1.0,127.0,0.14340694121284284,5.537219846001394,52.09746301893423,7.2177367018015435,61.74384609471086,-38.93978171382959
18,10.0,0.05,-1.0,127.0,0.5200855329541936,4.095774678596692,29.18856071485626,5.402526189417864,45.26137242397801,-28.292834367522044
19,10.0,0.1,-1.0,127.0,0.7420183462165604,2.953674059662048,15.690698250390625,3.9610202320692927,31.89163171810958,-19.217556355492786
20,10.0,0.001,1.0,31.0,0.005976742671812296,5.977670207919177,60.45566820412697,7.775201680380896,66.70512853373545,-42.06319904653177
21,10.0,0.01,1.0,31.0,0.0556334340785942,5.800230340299156,57.43581746222867,7.578515000193692,64.51800708287719,-40.69766557527612
22,10.0,0.05,1.0,31.0,0.20488385422146288,5.252830283216612,48.359065429434786,6.953929025909998,57.44497211149476,-35.94749015501661
23,10.0,0.1,1.0,31.0,0.322217054873955,4.795188953287472,41.22311116988686,6.420381693006303,51.40735757242309,-31.790478382659614
24,10.0,0.001,1.0,60.0,0.005976742671812296,5.977670207919177,60.45566820412697,7.775201680380896,66.70512853373545,-42.06319904653177
25,10.0,0.01,1.0,60.0,0.0556334340785942,5.800230340299156,57.43581746222867,7.578515000193692,64.51800708287719,-40.69766557527612
26,10.0,0.05,1.0,60.0,0.20488385422146288,5.252830283216612,48.359065429434786,6.953929025909998,57.44497211149476,-35.94749015501661
27,10.0,0.1,1.0,60.0,0.322217054873955,4.795188953287472,41.22311116988686,6.420381693006303,51.40735757242309,-31.790478382659614
28,10.0,0.001,1.0,80.0,0.005976742671812296,5.977670207919177,60.45566820412697,7.775201680380896,66.70512853373545,-42.06319904653177
29,10.0,0.01,1.0,80.0,0.0556334340785942,5.800230340299156,57.43581746222867,7.578515000193692,64.51800708287719,-40.69766557527612
30,10.0,0.05,1.0,80.0,0.20488385422146288,5.252830283216612,48.359065429434786,6.953929025909998,57.44497211149476,-35.94749015501661
31,10.0,0.1,1.0,80.0,0.322217054873955,4.795188953287472,41.22311116988686,6.420381693006303,51.40735757242309,-31.790478382659614
32,10.0,0.001,1.0,100.0,0.005976742671812296,5.977670207919177,60.45566820412697,7.775201680380896,66.70512853373545,-42.06319904653177
