,N1,N2,d1,d2,freq,move_tx,move_rx,offset_tx,offset_rx,per,space1,space2,space3,space4,space5,space6,l1,l2,h1,w1,I1,I2,volume,total_loss,Lmt,Lmr,Llt,Llr,R1,R2,copperloss_tx,copperloss_rx,copperloss,coreloss
0,13.95895366,18.61937035,1.629641718,1.630156242,40006.42779,2.303196784,2.420720585,3.961524101,-1.285637472,3500.195147,3.887765127,13.14927166,4.556749136,9.459924367,2.298142527,2.343690687,8.12894428,19.28334595,30.78899739,32.96428108,4.355507259,3.170361549,194.6385292,14.47690405,5.875430849,3.261488395,22.76373925,23.20872552,0.035466161,0.028908089,0.674197531,0.290494491,0.964692023,13.51353449
1,13.95642356,18.65815,1.629640741,1.630168512,40006.45591,2.298325348,2.392843715,6.391096657,-2.815198593,3500.017696,3.975119064,13.03536957,4.542815642,9.701219601,2.304013662,2.346443684,11.78581811,20.54276154,32.22493304,94.14259365,4.354196596,3.169633649,590.0943107,2.915291327,8.988496897,4.600649555,41.38363896,43.66497471,0.034190235,0.035708864,0.649942689,0.3588348,1.008777489,1.908325842
2,13.956697245655636,18.64662793976631,1.629649206394401,1.6301279958942099,40006.74349648148,2.2907552113932192,2.420396507978285,3.876797111857842,-0.8279615532635693,3499.997293080693,3.708215453601621,13.069091544512933,4.3327280848740966,9.449792572650816,2.2992577668092204,2.3468853425898515,8.018504195087747,19.28762436060689,29.415614988971225,62.11541509562778,4.355167984135063,3.1702468443500678,280.4621880862407,6.283991899437447,7.019224192989512,3.917988738067787,30.22986646379349,30.042758926835575,0.03619886006870505,0.031380515054860975,0.6881258503620555,0.31533965773479244,1.003465508096848,5.282001679376626
3,13.958114517973408,18.878609499493084,1.6295561617193697,1.6301124094703545,40007.90477486778,2.291702219910298,2.3948190909880043,2.84226659326985,-3.184109652294672,3500.1001216295545,3.7684629513981394,13.12582791858397,4.616688281087579,9.287583302576232,2.300028796468046,2.3479560085326248,8.509045772800489,19.290016478969946,32.73564655723673,52.71892171060866,4.3545035415416775,3.1698781462903978,280.4358938511885,7.57428996365805,6.196221333860004,3.6021028737944496,26.096391027310975,27.965129845025515,0.03703242030714116,0.029794577448019558,0.7039714970706308,0.29940272931740375,1.0033742263880345,6.572712567148675
50,13.958020085916964,18.633406202323368,1.629622348596,1.6301287893786145,40006.447779229966,2.290308552150253,2.406322704464514,3.6457299053562355,-2.983500975589837,3500.120874068213,4.0516641266394355,13.057769954808977,4.540024066778097,9.273910821919076,2.2993096591506035,2.3469570305886864,8.006840245692217,19.29112492313568,32.59073464309712,54.03690038581485,4.355742133142518,3.170224979858062,270.8100547893605,7.828371660490942,6.167239094758347,3.5161817736325105,26.15106874943231,27.679077713808965,0.03718330333765659,0.030324191223240097,0.7068397231275169,0.3047247651832174,1.0115644883107342,6.8181438069058515
51,13.957865439440804,18.639749787952475,1.6296117179943803,1.6301323431696297,40006.40628774726,2.290465455396046,2.400245922712717,6.624610249411111,-3.1920515154131897,3500.175585981621,3.9628312664109413,13.168955678702462,4.524621477307091,9.473730800278494,2.299449354114374,2.347849927953449,8.35687940547706,19.29115298752841,32.614918369328926,45.56632909255237,4.356068900113392,3.170313149259799,251.6329198456935,9.296916949257932,6.194534585828349,3.401423401543113,28.95847453132527,26.917334087778904,0.0354536880586104,0.030115358894726604,0.6739604285189603,0.30262622999721817,0.9765866585161784,8.321485273629493
52,13.958589367287711,18.66757225537661,1.6296823760144934,1.6301330012027861,40007.245352873724,2.2900952372168093,2.4004131306400316,0.18766409983126087,2.2243012091304144,3500.118931964603,3.913333266413574,13.070101228059974,4.528551402655219,9.480778631946153,2.305047112366615,2.34740817425437,8.208077702990533,19.291153875562888,30.4806642907512,87.7116269538201,4.354940189935988,3.1696400991641625,378.44413851858513,4.195837942157198,8.660514116839623,4.451925651184154,37.49829318299542,36.83956640472561,0.038471177703332284,0.0331819003367471,0.7313216996692655,0.33344159829393794,1.0647632979632036,3.1328467762275976
54,13.958870293734305,18.62262253267553,1.6296513053711215,1.6301317823696186,40007.23691729884,2.296709582608517,2.3460445884091152,-0.036829102862360186,-2.836525333121789,3500.0157353919835,4.142920394885093,13.153132099378599,4.637533199066542,9.46011407017733,2.302047143286081,2.3464828147908707,8.056538740602527,19.274321416302186,32.60931629440458,41.17209389600976,4.355657088664865,3.1703154934252082,229.02145764035023,11.083185050370359,5.937770533866567,3.373019356894996,24.12994825736084,23.229441150515818,0.03615589212453164,0.028760068227357934,0.6873090469304967,0.28900704960989715,0.9763160965403939,10.108179972722775
