,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,-0.24125908197748946,-0.02215733281226174,-0.1401295217619546,-0.0037250663754610862,-0.02258527043845399,-0.006198317383445346,-0.0704697031322547,-0.0004142696665254322,-0.0007753271627845288,-0.030056181537879898,-0.0004647480216997262,-0.00031175226949648144,-0.007216116777627277,-10.426576288610912,-14.362941195055972
1,-0.09909551424626054,-0.007758678104013771,-0.1297367025706312,-0.004444826683000692,-0.02598420268343403,-0.004402131870169514,-0.00890550434307328,-0.0008998968655573235,-0.0008231344300995068,-0.02975042915442214,-0.0013468344649536996,-0.011407002448950003,-0.012272504820375,-9.232402319668589,-9.779307862662739
2,-0.5267837440288415,-0.022477287835589433,-0.314379090263263,-0.005341563721997592,-0.011913880641136817,-0.003072401953715011,-0.01318709215195737,-0.0003967219348871542,-0.0007760368464232206,-0.0044777997361310365,-0.0007219948203512675,-0.0021837702383720103,-0.008924351851072822,-12.82498344984227,-17.84732728343724
3,-0.4778047395499271,-0.023334142330578626,-0.2737749151510145,-0.004497263684310551,-0.058930616990941764,-0.004596723852449837,-0.0880374147478631,-0.0009210305017022792,-0.0005890054563217346,-0.0024518890917196146,-0.0005020899711890901,-0.0011647717315590208,-0.007436844251045981,-12.413559812219388,-17.186822997363155
4,-0.34813941558409794,-0.024601983037770853,-0.28145291393037386,-0.006219203801986699,-0.029623374824366604,-0.0046190312570219055,-0.022050555428417048,-0.000521728671241671,-0.0009339075656178599,-0.008069343949035291,-0.0009169148036653586,-0.005526554811946626,-0.011372732316127464,-11.324371090906423,-15.227283920653967
5,-0.1760591698628539,-0.010071816821113976,-0.4601243045382683,-0.005436946063575476,-0.023118691926300835,-0.004510448115044365,-0.018372436826103844,-0.0009772092826959503,-0.0009986493130118128,-0.04738504210367808,-0.001456486835702454,-0.000935711414997442,-0.01267173830410539,-9.878897026847973,-13.050057727694277
6,-0.516208597345464,-0.020838195616145774,-0.456137304578968,-0.002888602872507989,-0.041699319759299726,-0.004574013240593973,-0.026447129092848173,-0.000968560668357293,-0.0008395106341186695,-0.00673447927984904,-0.00026129169565449633,-0.004601931677622342,-0.005516445619159452,-12.736152217701898,-17.044935000844255
7,-0.34813941558409794,-0.024601983037770853,-0.28145291393037386,-0.006219203801986699,-0.029623374824366604,-0.0046190312570219055,-0.022050555428417048,-0.000521728671241671,-0.0009339075656178599,-0.008069343949035291,-0.0009169148036653586,-0.005526554811946626,-0.011372732316127464,-11.324371090906423,-15.227283920653967
8,-0.3126368007168523,-0.01132338742046103,-0.5062935951929008,-0.00532315594630623,-0.021334340702980417,-0.005178873137938604,-0.0008424511218377628,-0.0009643810799350953,-0.0008732471809555447,-0.026319190211614198,-0.0005460828354895645,-0.010247919848072546,-0.007979497496400464,-11.02614912602156,-15.89694577227896
9,-0.5003655238745701,-0.01631775542520981,-0.8335192479023062,-0.005191126535040883,-0.016678469440335464,-0.0029980741160685357,-0.010537175531982338,-0.0004238807839141593,-0.0005591330269834394,-0.02955556809660882,-0.00046069784949493526,-0.0011311028137809358,-0.007278147955436544,-12.60307040054639,-17.84732728343724
10,-0.1091871842126535,-0.02043876654761274,-0.12385784215805218,-0.005289373227208524,-0.03799857712622297,-0.0016434351273506296,-0.025518928563208868,-0.0005586996943257408,-0.0008386419989744828,-0.02647522191772196,-0.00022599672665269872,-0.009458409496747986,-0.005149353106335418,-9.31717234738629,-10.444486004991418
11,-0.31680210521378177,-0.01132338742046103,-0.5684732413567027,-0.005410851833698125,-0.009411107351078583,-0.005179795854234268,-0.0008442671604627932,-0.0009330957616961152,-0.0008726114202798756,-0.030068549755568538,-0.0005463706378952625,-0.013496846313372423,-0.007981543221011963,-11.061137683795767,-15.89694577227896
12,-0.1888622314778443,-0.010098022860051898,-0.005779575137738636,-0.005335327845642794,-0.024010251249612837,-0.004512611088460693,-0.06471145673352753,-0.0009772840584736035,-0.0009986653075045766,-0.025372250896135425,-0.0014907632126083489,-0.0009358108350697633,-0.012812418757984344,-9.986442744413893,-13.295073129323288
13,-0.4883777106872955,-0.010239281652896405,-0.2594500250281106,-0.004334389695344942,-0.04271909386084759,-0.006169159224147346,-0.09001968123527455,-0.0006482270926427707,-0.0007472730208595094,-0.0025618916894027,-0.00043621967478649177,-0.007200293009244914,-0.007132285617698135,-12.502372769773283,-17.044935000844255
14,-0.10915242599073505,-0.020986973791280953,-0.01795413461309005,-0.004916678602877418,-0.02537006198394144,-0.002963330632878266,-0.038795528255927546,-0.0009750365502935068,-0.0008544367473363484,-0.018816210627335066,-0.004178102446819973,-0.011098848254862088,-0.022763154373812898,-9.316880378322175,-10.430413848270776
15,-0.28191511545502795,-0.012791328785426213,-0.2869686684254054,-0.005446965424694911,-0.022180186532086654,-0.0031840059832456743,-0.02439122062801259,-0.00087094745142083,-0.0009989951983666572,-0.03807864883978441,-0.0013635402865937896,-0.004706985525338074,-0.012381706759354103,-10.768086969822235,-13.742853100344966
16,-0.24885750497954104,-0.008938278292665245,-0.14066095032164802,-0.003731529692148669,-0.023145037321424415,-0.006249816491255575,-0.07256844379498413,-0.0004204830926969275,-0.0007714521374677827,-0.030108746344475072,-0.001271771499153046,-0.0001532983457297397,-0.011876753649149693,-10.490403041828145,-14.362941195055972
17,-0.11125129987395957,-0.01180978000451929,-0.2554669796216076,-0.0032706997710821835,-0.03640311083888123,-0.002988668986241463,-0.01864965844338701,-0.0009775567087209182,-0.0008540937356554979,-0.024692375989359173,-0.00915685490270981,-0.008810240540912416,-0.03328056701392764,-9.33451091894126,-8.453068426886807
