,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,13.99584811,18.702366,1.635515435,1.621205667,40000,2.209824697,2.739737065,0.19280166,0.086644188,3499.223526,2.539356578,9.115492926,4.355698662,15.94951469,3.49139089,4.730717765,8.509123904,14.48598253,27.49687352,99.35748757,4.36,3.17
1,13.95121861,17.95458578,1.634536828,1.637310318,40000,2.21428961,2.733077329,-0.082291717,0.121052716,3500.023589,2.792356188,10.04987258,2.776560439,9.768498288,3.955456352,4.692401031,8.432072954,18.57782356,27.41083553,63.34620757,4.36,3.17
2,13.9754089,18.702366,1.636657915,1.62055224,40000,3.334417028,2.699965159,0.19280166,0.009176562,3499.223526,3.175485842,9.115492926,2.346023229,9.608208796,3.480500386,4.73045761,19.1086858,14.89037235,27.48851229,99.35748757,4.36,3.17
3,13.93499703,18.73123318,1.633930824,1.622368322,40000,3.534321099,2.732773709,-0.22660459,0.001464825,3499.26374,2.804240091,23.68708058,5.413947437,20.13504317,3.975284024,4.897387707,19.92645936,29.8600026,27.5232429,99.86261364,4.36,3.17
4,13.7484922,19.00890889,1.631419877,1.63049761,40000,2.020477236,1.841917133,0.316657517,0.08493719,3499.266343,3.955470288,11.05475483,2.853864877,10.42982016,3.57034585,4.519001976,11.60165798,17.74835899,20.84812828,99.64381439,4.36,3.17
5,13.9847524,18.07845283,1.634599061,1.632951959,40000,1.754655143,2.722050816,0.317847496,-0.060114086,3499.827225,3.232080475,10.77370366,2.814854782,9.884066442,4.418516967,4.230799326,8.375165515,17.22746113,27.56577914,75.3544398,4.36,3.17
6,13.95114303,18.54384534,1.630602674,1.621918213,40000,3.067695412,2.720447503,0.05496001,0.085721987,3499.841602,2.292849107,10.71118589,2.83166137,10.80808267,4.075209489,4.653132127,19.948928,17.68489319,26.78377756,99.9207387,4.36,3.17
7,13.7484922,19.00890889,1.631419877,1.63049761,40000,2.020477236,1.841917133,0.316657517,0.08493719,3499.25275,3.955470288,11.05475483,2.853864877,10.42982016,3.57034585,4.519001976,11.60165798,17.74835899,20.84812828,99.64381439,4.36,3.17
8,13.95105964,18.0810782,1.634400935,1.627735578,40000,2.18338197,2.734791109,0.928952338,0.123054139,3499.292175,3.168340853,10.2540698,3.096115667,9.572587082,4.073406758,4.618160134,12.68860129,18.61774899,26.74296524,99.45980837,4.36,3.17
9,13.95071083,18.29034034,1.63588715,1.621245745,40000,2.105974266,2.72038787,-0.461064098,0.081494751,3499.227092,3.099550673,9.330896434,2.325256745,9.628786779,3.498107721,4.921111038,18.21042519,14.89037235,26.76775792,99.35748757,4.36,3.17
